survey_date	site	quadrat_id	species	count	percent_cover	observer
2025-06-14	Site 7 Titlow Beach	Q01	Mytilus trossulus	48	62	A. Santos
2025-06-14	Site 7 Titlow Beach	Q01	Balanus glandula	120	18	A. Santos
2025-06-14	Site 7 Titlow Beach	Q01	Pisaster ochraceus	2	4	A. Santos
2025-06-14	Site 7 Titlow Beach	Q02	Nucella lamellosa	9	3	A. Santos
2025-06-14	Site 7 Titlow Beach	Q02	Balanus glandula	95	22	A. Santos
2025-06-14	Site 7 Titlow Beach	Q02	Mytilus trossulus	31	41	A. Santos
2025-06-14	Site 7 Titlow Beach	Q03	Littorina sitkana	22	2	A. Santos
2025-06-14	Site 7 Titlow Beach	Q03	Semibalanus cariosus	64	15	A. Santos
2025-06-14	Site 7 Titlow Beach	Q03	Pisaster ochraceus	1	2	A. Santos
2025-07-19	Site 7 Titlow Beach	Q04	Mytilus trossulus	53	58	A. Santos
2025-07-19	Site 7 Titlow Beach	Q04	Balanus glandula	138	24	A. Santos
2025-07-19	Site 7 Titlow Beach	Q04	Nucella lamellosa	7	2	A. Santos
2025-07-19	Site 7 Titlow Beach	Q05	Pisaster ochraceus	3	6	A. Santos
2025-07-19	Site 7 Titlow Beach	Q05	Littorina sitkana	18	2	A. Santos
2025-07-19	Site 7 Titlow Beach	Q05	Mytilus trossulus	44	49	A. Santos
2025-08-23	Site 7 Titlow Beach	Q06	Balanus glandula	152	28	A. Santos
2025-08-23	Site 7 Titlow Beach	Q06	Semibalanus cariosus	71	17	A. Santos
2025-08-23	Site 7 Titlow Beach	Q06	Mytilus trossulus	26	33	A. Santos
2025-08-23	Site 7 Titlow Beach	Q07	Nucella ostrina	11	3	A. Santos
2025-08-23	Site 7 Titlow Beach	Q07	Pisaster ochraceus	1	2	A. Santos
2025-08-23	Site 7 Titlow Beach	Q07	Pagurus hirsutiusculus	14	1	A. Santos
2026-01-11	Site 7 Titlow Beach	Q08	Mytilus trossulus	39	44	A. Santos
2026-01-11	Site 7 Titlow Beach	Q08	Balanus glandula	108	20	A. Santos
2026-01-11	Site 7 Titlow Beach	Q08	Littorina sitkana	16	2	A. Santos
2026-01-11	Site 7 Titlow Beach	Q09	Pisaster ochraceus	2	5	A. Santos
2026-01-11	Site 7 Titlow Beach	Q09	Nucella lamellosa	8	2	A. Santos
2026-01-11	Site 7 Titlow Beach	Q09	Semibalanus cariosus	58	13	A. Santos
