date	activity	distance_mi	laps	duration_min	route_or_pool	notes
2026-01-06	run	3.1		29	campus loop	cold, clear, felt good
2026-01-09	run	3.0		31	campus loop	legs heavy after lab
2026-01-13	swim		26	40	university pool	easy laps, thinking through ch3
2026-01-16	run	3.2		28	campus loop	fast one, podcast on
2026-01-20	run	3.1		30	waterfront	rainy, worth it
2026-01-24	swim		30	45	university pool	longest swim this month
2026-01-27	run	3.0		32	campus loop	tired, kept it slow
2026-02-03	run	3.3		29	campus loop	new shoes from REI
2026-02-07	swim		24	38	university pool	short, busy day
2026-02-10	run	3.1		30	campus loop	good thinking mile around 2
2026-02-14	run	3.5		33	waterfront	long one, called Kai after
2026-02-18	run	3.0		31	campus loop	wind off the Sound
2026-02-24	swim		28	42	university pool	relaxed, deadline brain off
