place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
ChIJmp0000000005,Baxters Plumbing Supply,142 Cranston St Providence RI 02907,41.8123,-71.4256,4.6,412,plumbing_supply|store|point_of_interest,OPERATIONAL,2
ChIJmp0000000006,Atlantic Building Materials,88 Broadway Pawtucket RI 02860,41.8724,-71.3826,4.4,318,building_materials|store|point_of_interest,OPERATIONAL,2
ChIJmp0000000007,Henderson Ave Rough-In Site,210 Henderson Ave Providence RI 02909,41.8330,-71.4587,0,0,construction_site|point_of_interest,OPERATIONAL,0
ChIJmp0000000008,Oakwood Plaza,340 Oakwood Plaza East Greenwich RI 02818,41.6389,-71.4574,4.2,220,shopping_mall|point_of_interest,OPERATIONAL,2
ChIJmp0000000009,OBriens Tap Room,55 Elmwood Ave Providence RI 02907,41.8109,-71.4180,4.7,1120,bar|restaurant|point_of_interest,OPERATIONAL,2
ChIJmp0000000010,Dorothys Home,18 Rustic Ln Cranston RI 02910,41.7825,-71.4402,0,0,residence|point_of_interest,OPERATIONAL,0
ChIJmp0000000011,Murray Plumbing Shop,44 Trades Way Providence RI 02909,41.8412,-71.4499,4.9,88,plumber|point_of_interest,OPERATIONAL,2
ChIJmp0000000012,LaSalle Academy,612 Smith St Providence RI 02908,41.8461,-71.4392,4.5,540,school|point_of_interest,OPERATIONAL,0
ChIJmp0000000013,New England Institute of Technology,1 New England Tech Blvd East Greenwich RI 02818,41.6472,-71.4498,4.3,1200,school|point_of_interest,OPERATIONAL,0
ChIJmp0000000014,Narragansett Trust Providence Main,220 Westminster St Providence RI 02903,41.8231,-71.4128,4.1,180,bank|point_of_interest,OPERATIONAL,0
