"id","name","box_art_url","rank","viewer_count"
"g_0001","Fortnite","https://static.twitch.tv/boxart/1.jpg","30","399736"
"g_0002","Minecraft","https://static.twitch.tv/boxart/2.jpg","115","130518"
"g_0003","League of Legends","https://static.twitch.tv/boxart/3.jpg","188","59427"
"g_0004","Valorant","https://static.twitch.tv/boxart/4.jpg","48","389307"
"g_0005","GTA V","https://static.twitch.tv/boxart/5.jpg","155","446948"
"g_0006","Apex Legends","https://static.twitch.tv/boxart/6.jpg","59","69133"
"g_0007","Call of Duty","https://static.twitch.tv/boxart/7.jpg","180","278849"
"g_0008","Counter-Strike 2","https://static.twitch.tv/boxart/8.jpg","11","400745"
"g_0009","Dota 2","https://static.twitch.tv/boxart/9.jpg","160","406961"
"g_0010","Overwatch 2","https://static.twitch.tv/boxart/10.jpg","81","26940"
"g_0011","Elden Ring","https://static.twitch.tv/boxart/11.jpg","175","104466"
"g_0012","Baldurs Gate 3","https://static.twitch.tv/boxart/12.jpg","150","362394"
"g_0013","FIFA 25","https://static.twitch.tv/boxart/13.jpg","78","99951"
"g_0014","Rocket League","https://static.twitch.tv/boxart/14.jpg","180","8713"
"g_0015","Stardew Valley","https://static.twitch.tv/boxart/15.jpg","80","318861"
"g_0016","Game 16","https://static.twitch.tv/boxart/16.jpg","19","243141"
"g_0017","Game 17","https://static.twitch.tv/boxart/17.jpg","157","294386"
"g_0018","Game 18","https://static.twitch.tv/boxart/18.jpg","193","405804"
"g_0019","Game 19","https://static.twitch.tv/boxart/19.jpg","47","73770"
"g_0020","Game 20","https://static.twitch.tv/boxart/20.jpg","95","14948"
"g_0021","Game 21","https://static.twitch.tv/boxart/21.jpg","15","13572"
"g_0022","Game 22","https://static.twitch.tv/boxart/22.jpg","188","65273"
"g_0023","Game 23","https://static.twitch.tv/boxart/23.jpg","162","90954"
"g_0024","Game 24","https://static.twitch.tv/boxart/24.jpg","52","437127"
"g_0025","Game 25","https://static.twitch.tv/boxart/25.jpg","142","154749"
"g_0026","Game 26","https://static.twitch.tv/boxart/26.jpg","94","350844"
"g_0027","Game 27","https://static.twitch.tv/boxart/27.jpg","47","188297"
"g_0028","Game 28","https://static.twitch.tv/boxart/28.jpg","23","230429"
"g_0029","Game 29","https://static.twitch.tv/boxart/29.jpg","76","229243"
"g_0030","Game 30","https://static.twitch.tv/boxart/30.jpg","5","181777"
"g_0031","Game 31","https://static.twitch.tv/boxart/31.jpg","164","164743"
"g_0032","Game 32","https://static.twitch.tv/boxart/32.jpg","95","374127"
"g_0033","Game 33","https://static.twitch.tv/boxart/33.jpg","170","235726"
"g_0034","Game 34","https://static.twitch.tv/boxart/34.jpg","33","85260"
"g_0035","Game 35","https://static.twitch.tv/boxart/35.jpg","113","159189"
"g_0036","Game 36","https://static.twitch.tv/boxart/36.jpg","1","396914"
"g_0037","Game 37","https://static.twitch.tv/boxart/37.jpg","147","92226"
"g_0038","Game 38","https://static.twitch.tv/boxart/38.jpg","59","408976"
"g_0039","Game 39","https://static.twitch.tv/boxart/39.jpg","108","315981"
"g_0040","Game 40","https://static.twitch.tv/boxart/40.jpg","99","250027"
"g_0041","Game 41","https://static.twitch.tv/boxart/41.jpg","37","194006"
"g_0042","Game 42","https://static.twitch.tv/boxart/42.jpg","80","402138"
"g_0043","Game 43","https://static.twitch.tv/boxart/43.jpg","74","391852"
"g_0044","Game 44","https://static.twitch.tv/boxart/44.jpg","102","110390"
"g_0045","Game 45","https://static.twitch.tv/boxart/45.jpg","177","349246"
"g_0046","Game 46","https://static.twitch.tv/boxart/46.jpg","86","254520"
"g_0047","Game 47","https://static.twitch.tv/boxart/47.jpg","110","487079"
