id,name,company,from_name,from_email,subject,member_count,unsubscribe_count,date_created
aud_retail,Retail Subscribers,,,,,40,0,2022-01-01T00:00:00Z
aud_wholesale,Wholesale Buyers,,,,,47,3,2022-01-31T00:00:00Z
aud_ranch,Ranch & Tack Buyers,,,,,54,6,2022-03-02T00:00:00Z
aud_craft_show,Craft Show Attendees,,,,,61,9,2022-04-01T00:00:00Z
aud_marketing,Marketing Broadcast,,,,,68,12,2022-05-01T00:00:00Z
aud_vip,VIP Loyal Buyers,,,,,75,15,2022-05-31T00:00:00Z
aud_dropoff_2023,Retail Drop-off 2023,,,,,82,18,2022-06-30T00:00:00Z
aud_dropoff_2024,Retail Drop-off 2024,,,,,89,21,2022-07-30T00:00:00Z
aud_holiday,Holiday Broadcast,,,,,96,24,2022-08-29T00:00:00Z
aud_ranch_delivery,Ranch Delivery Alerts,,,,,103,2,2022-09-28T00:00:00Z
aud_freight,Freight Coordination,,,,,110,5,2022-10-28T00:00:00Z
aud_referral,Referral Program,,,,,117,8,2022-11-27T00:00:00Z
aud_segment_012,Segment 012 — ZIP Bucket,,,,,56,2,2023-02-06T00:00:00Z
aud_segment_013,Segment 013 — Category Bucket,,,,,59,3,2023-02-09T00:00:00Z
aud_segment_014,Segment 014 — Purchase Freq Bucket,,,,,62,4,2023-02-12T00:00:00Z
aud_segment_015,Segment 015 — LTV Bucket,,,,,65,5,2023-02-15T00:00:00Z
aud_segment_016,Segment 016 — ZIP Bucket,,,,,68,6,2023-02-18T00:00:00Z
aud_segment_017,Segment 017 — Category Bucket,,,,,71,7,2023-02-21T00:00:00Z
aud_segment_018,Segment 018 — Purchase Freq Bucket,,,,,74,8,2023-02-24T00:00:00Z
aud_segment_019,Segment 019 — LTV Bucket,,,,,77,9,2023-02-27T00:00:00Z
aud_segment_020,Segment 020 — ZIP Bucket,,,,,80,0,2023-03-02T00:00:00Z
aud_segment_021,Segment 021 — Category Bucket,,,,,83,1,2023-03-05T00:00:00Z
aud_segment_022,Segment 022 — Purchase Freq Bucket,,,,,86,2,2023-03-08T00:00:00Z
aud_segment_023,Segment 023 — LTV Bucket,,,,,89,3,2023-03-11T00:00:00Z
aud_segment_024,Segment 024 — ZIP Bucket,,,,,92,4,2023-03-14T00:00:00Z
aud_segment_025,Segment 025 — Category Bucket,,,,,95,5,2023-03-17T00:00:00Z
aud_segment_026,Segment 026 — Purchase Freq Bucket,,,,,98,6,2023-03-20T00:00:00Z
aud_segment_027,Segment 027 — LTV Bucket,,,,,101,7,2023-03-23T00:00:00Z
aud_segment_028,Segment 028 — ZIP Bucket,,,,,104,8,2023-03-26T00:00:00Z
