pair,base,currency,amount
BTC-USD,BTC,USD,61920.00
ETH-USD,ETH,USD,3306.00
USDC-USD,USDC,USD,1.00
USDT-USD,USDT,USD,35493.94
SOL-USD,SOL,USD,31123.6
DOGE-USD,DOGE,USD,45955.91
LINK-USD,LINK,USD,22772.15
AVAX-USD,AVAX,USD,52311.05
XLM-USD,XLM,USD,20988.04
XRP-USD,XRP,USD,35282.93
ADA-USD,ADA,USD,26630.71
MATIC-USD,MATIC,USD,24078.53
DOT-USD,DOT,USD,43581.27
BCH-USD,BCH,USD,42021.66
LTC-USD,LTC,USD,24102.98
UNI-USD,UNI,USD,24243.31
AAVE-USD,AAVE,USD,19617.07
ATOM-USD,ATOM,USD,3061.65
ALGO-USD,ALGO,USD,36556.58
NEAR-USD,NEAR,USD,43890.86
REF-USD,REF,USD,1.00
