id,project_id,ref,sha,status,source,duration,created_at,updated_at
70001,501,main,a1b2c3d4e5f60718,success,push,42,2022-03-16T12:00:00Z,2022-03-16T12:00:42Z
70002,501,main,b1c2d3e4f5061829,success,schedule,38,2024-08-22T14:00:00Z,2024-08-22T14:00:38Z
800001,101,main,a000000000000000000000000000000000000000,success,push,67,1998-08-02T12:00:00-06:00,1998-08-02T13:00:00-06:00
800002,101,main,a000000000000000000000000000000000000000,success,push,74,1998-08-03T12:00:00-06:00,1998-08-03T13:00:00-06:00
800003,101,main,a000000000000000000000000000000000000000,success,push,81,1998-08-04T12:00:00-06:00,1998-08-04T13:00:00-06:00
800004,101,main,a000000000000000000000000000000000000000,failed,push,88,1998-08-05T12:00:00-06:00,1998-08-05T13:00:00-06:00
800005,101,main,a000000000000000000000000000000000000000,success,push,95,1998-08-06T12:00:00-06:00,1998-08-06T13:00:00-06:00
800006,101,main,a000000000000000000000000000000000000000,success,push,102,1998-08-07T12:00:00-06:00,1998-08-07T13:00:00-06:00
800007,101,main,a000000000000000000000000000000000000000,success,push,109,1998-08-08T12:00:00-06:00,1998-08-08T13:00:00-06:00
800008,101,main,a000000000000000000000000000000000000000,failed,push,116,1998-08-09T12:00:00-06:00,1998-08-09T13:00:00-06:00
800009,101,main,a000000000000000000000000000000000000000,success,push,123,1998-08-10T12:00:00-06:00,1998-08-10T13:00:00-06:00
800010,101,main,a000000000000000000000000000000000000000,success,push,130,1998-08-11T12:00:00-06:00,1998-08-11T13:00:00-06:00
800011,101,main,a000000000000000000000000000000000000000,success,push,137,1998-08-12T12:00:00-06:00,1998-08-12T13:00:00-06:00
800012,101,main,a000000000000000000000000000000000000000,failed,push,144,1998-08-13T12:00:00-06:00,1998-08-13T13:00:00-06:00
800013,101,main,a000000000000000000000000000000000000000,success,push,151,1998-08-14T12:00:00-06:00,1998-08-14T13:00:00-06:00
800014,101,main,a000000000000000000000000000000000000000,success,push,158,1998-08-15T12:00:00-06:00,1998-08-15T13:00:00-06:00
800015,101,main,a000000000000000000000000000000000000000,success,push,165,1998-08-16T12:00:00-06:00,1998-08-16T13:00:00-06:00
800016,101,main,a000000000000000000000000000000000000001,failed,push,172,1998-08-17T12:00:00-06:00,1998-08-17T13:00:00-06:00
800017,101,main,a000000000000000000000000000000000000001,success,push,179,1998-08-18T12:00:00-06:00,1998-08-18T13:00:00-06:00
800018,101,main,a000000000000000000000000000000000000001,success,push,186,1998-08-19T12:00:00-06:00,1998-08-19T13:00:00-06:00
800019,101,main,a000000000000000000000000000000000000001,success,push,193,1998-08-20T12:00:00-06:00,1998-08-20T13:00:00-06:00
800020,101,main,a000000000000000000000000000000000000001,failed,push,200,1998-08-21T12:00:00-06:00,1998-08-21T13:00:00-06:00
800021,101,main,a000000000000000000000000000000000000001,success,push,207,1998-08-22T12:00:00-06:00,1998-08-22T13:00:00-06:00
