id,segment,genre,subgenre
cls-music-rock,Music,Rock,Alternative Rock
cls-music-pop,Music,Pop,Pop
cls-music-jazz,Music,Jazz,Jazz
cls-sports-basketball,Sports,Basketball,NBA
cls-sports-soccer,Sports,Soccer,MLS
cls-arts-theatre,Arts & Theatre,Theatre,Musical
cls-arts-comedy,Arts & Theatre,Comedy,Comedy
id-00008,jade-8,orbit-8,zephyr-8
id-00009,kelp-9,cedar-9,grove-9
id-00010,meadow-10,coral-10,orbit-10
id-00011,umber-11,umber-11,alpha-11
id-00012,pine-12,zephyr-12,coral-12
id-00013,violet-13,frost-13,meadow-13
id-00014,river-14,pine-14,kelp-14
id-00015,bravo-15,orbit-15,harbor-15
id-00016,grove-16,orbit-16,grove-16
id-00017,quartz-17,zephyr-17,bravo-17
id-00018,willow-18,coral-18,jade-18
id-00019,coral-19,orbit-19,pine-19
id-00020,river-20,cedar-20,zephyr-20
id-00021,quartz-21,cedar-21,willow-21
id-00022,willow-22,umber-22,orbit-22
id-00023,bravo-23,iris-23,grove-23
id-00024,bravo-24,summit-24,pine-24
id-00025,kelp-25,kelp-25,frost-25
id-00026,kelp-26,tidal-26,iris-26
id-00027,jade-27,quartz-27,summit-27
id-00028,cedar-28,haze-28,harbor-28
id-00029,quartz-29,orbit-29,delta-29
id-00030,violet-30,jade-30,tidal-30
id-00031,orbit-31,delta-31,cedar-31
id-00032,willow-32,quartz-32,violet-32
id-00033,willow-33,frost-33,tidal-33
id-00034,haze-34,delta-34,zephyr-34
id-00035,grove-35,jade-35,violet-35
id-00036,ember-36,grove-36,tidal-36
id-00037,summit-37,haze-37,delta-37
id-00038,frost-38,pine-38,ember-38
id-00039,alpha-39,orbit-39,willow-39
id-00040,jade-40,quartz-40,iris-40
id-00041,kelp-41,delta-41,jade-41
id-00042,grove-42,coral-42,meadow-42
id-00043,harbor-43,pine-43,quartz-43
id-00044,iris-44,orbit-44,alpha-44
id-00045,harbor-45,iris-45,cedar-45
id-00046,pine-46,grove-46,summit-46
id-00047,summit-47,ember-47,alpha-47
id-00048,zephyr-48,coral-48,quartz-48
id-00049,pine-49,summit-49,ember-49
id-00050,quartz-50,cedar-50,jade-50
id-00051,umber-51,jade-51,alpha-51
id-00052,violet-52,zephyr-52,river-52
id-00053,harbor-53,meadow-53,zephyr-53
id-00054,jade-54,grove-54,river-54
id-00055,iris-55,willow-55,cedar-55
id-00056,coral-56,jade-56,willow-56
id-00057,pine-57,pine-57,pine-57
id-00058,meadow-58,frost-58,violet-58
id-00059,bravo-59,alpha-59,harbor-59
id-00060,quartz-60,kelp-60,coral-60
id-00061,bravo-61,cedar-61,quartz-61
id-00062,jade-62,summit-62,ember-62
id-00063,alpha-63,zephyr-63,coral-63
id-00064,delta-64,zephyr-64,jade-64
id-00065,iris-65,haze-65,coral-65
id-00066,alpha-66,tidal-66,iris-66
id-00067,summit-67,alpha-67,harbor-67
id-00068,summit-68,frost-68,jade-68
id-00069,frost-69,meadow-69,kelp-69
id-00070,harbor-70,grove-70,quartz-70
id-00071,coral-71,ember-71,pine-71
id-00072,kelp-72,summit-72,coral-72
id-00073,pine-73,kelp-73,harbor-73
id-00074,haze-74,meadow-74,umber-74
id-00075,orbit-75,grove-75,umber-75
id-00076,cedar-76,kelp-76,quartz-76
id-00077,river-77,quartz-77,haze-77
id-00078,ember-78,kelp-78,zephyr-78
id-00079,ember-79,orbit-79,ember-79
id-00080,pine-80,river-80,meadow-80
id-00081,meadow-81,iris-81,zephyr-81
id-00082,iris-82,kelp-82,grove-82
id-00083,willow-83,cedar-83,willow-83
id-00084,jade-84,river-84,violet-84
id-00085,grove-85,zephyr-85,frost-85
id-00086,frost-86,coral-86,alpha-86
id-00087,river-87,kelp-87,violet-87
id-00088,violet-88,grove-88,ember-88
id-00089,iris-89,frost-89,iris-89
id-00090,haze-90,coral-90,kelp-90
id-00091,bravo-91,iris-91,jade-91
id-00092,bravo-92,kelp-92,summit-92
id-00093,jade-93,willow-93,kelp-93
id-00094,jade-94,jade-94,tidal-94
id-00095,pine-95,grove-95,haze-95
id-00096,meadow-96,zephyr-96,alpha-96
id-00097,delta-97,ember-97,ember-97
id-00098,coral-98,delta-98,jade-98
id-00099,coral-99,tidal-99,river-99
id-00100,haze-100,quartz-100,jade-100
