Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,AcctNum,Vendor1099
1,Carondelet Property LLC,Carondelet Property LLC,"{""Address"": ""billing@carondeletprop.com""}","{""FreeFormNumber"": ""+1-555-9000""}","{""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70130""}",0.00,true,CP-1101,false
401,LexisNexis,LexisNexis Inc,"{""Address"": ""ap1@vendor.com""}","{""FreeFormNumber"": ""+18005551001""}","{""Line1"": ""201 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70131""}",200.00,true,V1001,false
402,Westlaw,Thomson Reuters,"{""Address"": ""ap2@vendor.com""}","{""FreeFormNumber"": ""+18005551002""}","{""Line1"": ""202 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70132""}",400.00,true,V1002,false
403,ADP Payroll,ADP Inc,"{""Address"": ""ap3@vendor.com""}","{""FreeFormNumber"": ""+18005551003""}","{""Line1"": ""203 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70133""}",600.00,true,V1003,false
404,Crescent Realty,Crescent Realty LLC,"{""Address"": ""ap4@vendor.com""}","{""FreeFormNumber"": ""+18005551004""}","{""Line1"": ""204 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70134""}",800.00,true,V1004,false
405,LexisNexis,LexisNexis Inc,"{""Address"": ""ap5@vendor.com""}","{""FreeFormNumber"": ""+18005551005""}","{""Line1"": ""205 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70135""}",1000.00,true,V1005,false
406,Westlaw,Thomson Reuters,"{""Address"": ""ap6@vendor.com""}","{""FreeFormNumber"": ""+18005551006""}","{""Line1"": ""206 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70136""}",1200.00,true,V1006,false
407,ADP Payroll,ADP Inc,"{""Address"": ""ap7@vendor.com""}","{""FreeFormNumber"": ""+18005551007""}","{""Line1"": ""207 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70137""}",1400.00,true,V1007,false
408,Crescent Realty,Crescent Realty LLC,"{""Address"": ""ap8@vendor.com""}","{""FreeFormNumber"": ""+18005551008""}","{""Line1"": ""208 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70138""}",1600.00,true,V1008,false
409,LexisNexis,LexisNexis Inc,"{""Address"": ""ap9@vendor.com""}","{""FreeFormNumber"": ""+18005551009""}","{""Line1"": ""209 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70139""}",1800.00,true,V1009,false
410,Westlaw,Thomson Reuters,"{""Address"": ""ap10@vendor.com""}","{""FreeFormNumber"": ""+18005551010""}","{""Line1"": ""210 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70130""}",2000.00,true,V1010,false
411,ADP Payroll,ADP Inc,"{""Address"": ""ap11@vendor.com""}","{""FreeFormNumber"": ""+18005551011""}","{""Line1"": ""211 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70131""}",2200.00,true,V1011,false
412,Crescent Realty,Crescent Realty LLC,"{""Address"": ""ap12@vendor.com""}","{""FreeFormNumber"": ""+18005551012""}","{""Line1"": ""212 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70132""}",2400.00,true,V1012,false
413,LexisNexis,LexisNexis Inc,"{""Address"": ""ap13@vendor.com""}","{""FreeFormNumber"": ""+18005551013""}","{""Line1"": ""213 Poydras St"", ""City"": ""New Orleans"", ""CountrySubDivisionCode"": ""LA"", ""PostalCode"": ""70133""}",2600.00,true,V1013,false
