campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
mc-cmp-2026-09-18,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e001,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e001,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e001,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e001,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e002,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e002,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e002,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e002,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e003,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e003,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e003,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e003,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e004,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e004,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e004,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e004,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e005,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e005,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e005,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e005,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e006,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e006,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e006,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e006,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e007,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e007,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e007,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e007,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e008,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e008,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e008,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e008,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e009,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e009,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e009,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e009,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e010,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e010,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e010,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e010,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e011,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e011,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e011,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e011,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e012,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e012,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e012,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e012,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e013,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e013,161,187,119,0.739,52,38,0.236,1,0
mc-cmp-2026-08-12-e013,159,168,110,0.692,29,22,0.138,2,1
mc-cmp-2026-07-01-e013,156,152,101,0.647,20,15,0.096,3,2
mc-cmp-2026-09-18-e014,162,201,124,0.765,58,41,0.253,0,1
mc-cmp-2026-09-04-e014,161,187,119,0.739,52,38,0.236,1,0
