date,high_f,low_f,precip_pct,conditions,wind_mph,pressure_trend,alert_flag
2026-10-12,64,47,10,partly cloudy,7,steady,
2026-10-13,67,49,0,sunny,5,steady,
2026-10-14,70,51,0,sunny,4,steady,
2026-10-15,66,53,40,showers possible PM,9,falling,
2026-10-16,59,48,70,"rain, breezy",14,falling_sharply,"barometric pressure drop, may trigger migraines"
2026-10-17,61,46,20,clearing,10,rising,
2026-10-18,65,47,5,sunny,5,steady,
2026-10-19,67,49,0,sunny,4,steady,
2026-10-20,64,51,10,partly cloudy,6,steady,
2026-10-21,61,47,30,scattered showers,8,falling,
