name,size_kb,modified,folder,memo
PA-WBC-Aspire-2027-Application-Package.pdf,480,2026-09-22,/Grants/PA WBC Aspire 2027/,
Business-Plan-Draft-v2.docx,92,2026-10-05,/Grants/PA WBC Aspire 2027/,"Draft business plan, still missing the two-year projection."
Two-Year-Financial-Projection-TEMPLATE.xlsx,38,2026-09-22,/Grants/PA WBC Aspire 2027/,Blank template downloaded from the PA WBC site.
Schedule-C-2025-Amanda-Webb.pdf,64,2026-04-12,/Grants/PA WBC Aspire 2027/,
Submitted-Application-2026-09-12.pdf,1240,2026-09-12,/Grants/Berks County Foundation Women in Arts/,
Artistic-Statement-Final.docx,28,2026-08-29,/Grants/Berks County Foundation Women in Arts/,
Budget-Narrative-Final.docx,31,2026-08-12,/Grants/Berks County Foundation Women in Arts/,
Letter-of-Support-Maribel-Santos.pdf,86,2026-09-08,/Grants/Berks County Foundation Women in Arts/,
Storefront-Activation-Grant-Guidelines.pdf,312,2026-08-20,/Grants/Reading Beautification Storefront 2027/,
Jurisdiction-Map-2026.pdf,1880,2026-08-20,/Grants/Reading Beautification Storefront 2027/,Marks the eligible Reading + West Reading zone. 624 Penn Avenue is inside the boundary; the two Wyomissing addresses are outside.
SBA-Microloan-Program-Sheet.pdf,96,2026-08-30,/Grants/SBA Microloan Reference/,
Sample-Personal-Financial-Statement.pdf,42,2026-08-30,/Grants/SBA Microloan Reference/,
Past-Winners-2024-2026.pdf,218,2026-07-12,/Grants/Eileen Fisher 2027 Reference/,
Program-Overview-2027.pdf,156,2026-07-12,/Grants/Eileen Fisher 2027 Reference/,
Two-Year-Financial-Projection-AmandaWebb-DRAFT-v1.xlsx,58,2026-09-30,/Grants/_Templates/,Amanda's first pass at the projection template. Numbers are placeholder.
Business-Plan-Outline-AmandaWebb.docx,24,2026-06-18,/Grants/_Templates/,
Personal-Financial-Statement-AmandaWebb-DRAFT.pdf,40,2026-08-15,/Grants/_Templates/,
