item,owner,status,due,notes,group
Reading Lights — Beginner ensemble (final music cut),Nat,In Progress,2026-10-26,Music draft sits in Logic Pro on Nat's laptop. Needs final stinger.,Routines
Brick and Light — Intermediate group,Amanda,Done,2026-10-15,Choreo set. Music approved.,Routines
Contemporary trio choreography,Nat,Done,2026-10-10,,Routines
Contemporary featured 'Carry' — sync license purchase,Amanda,Stuck,2026-10-21,$35 to Vimeo. Held pending Oct 20 sit-down — Amanda wants Maribel to see the cost line first.,Routines
Berks Avenue — Open featured,Amanda,Done,2026-10-12,,Routines
Wyomissing duet — Amanda + Nat,Amanda+Nat,In Progress,2026-10-31,Final blocking pass at the dress run.,Routines
MK Dancewear invoice MKD-2026-1184 — pay,Amanda,Not Started,2026-11-01,"$1,360. Pulls from studio operating once co-pays are in.",Costumes
Collect remaining 16 co-pays,Nat,In Progress,2026-10-28,List in airtable/costume_sizing.json.,Costumes
Final fitting day,Nat,Not Started,2026-11-08,,Costumes
All approved tracks exported to lossless WAV,Nat,In Progress,2026-11-09,For the Santander sound desk.,Music Tracks
Backup USB with all WAVs,Amanda,Not Started,2026-11-12,,Music Tracks
Spotify rehearsal playlist for dancers,Amanda,Done,2026-10-05,Playlist URL: open.spotify.com/playlist/showcase-rehearsal-aw — shared with dancers.,Music Tracks
Studio rehearsal Oct 24 10:00-12:30,Amanda,Done,2026-10-24,Beginner + Intermediate.,Rehearsal Slots
Studio rehearsal Oct 25 13:00-15:30,Nat,Done,2026-10-25,Contemporary.,Rehearsal Slots
Studio rehearsal Oct 31 14:00-16:00,Amanda,Done,2026-10-31,"Open featured, before Halloween social.",Rehearsal Slots
Studio full dress Nov 7,Amanda+Nat,Not Started,2026-11-07,,Rehearsal Slots
Santander tech rehearsal Nov 13,Amanda,Not Started,2026-11-13,Confirmed with venue tech lead Tony Russo.,Rehearsal Slots
Eventbrite event page — public,Amanda,Stuck,2026-10-25,"Page is built and STAGED, not live. Release requires explicit Amanda go-ahead after Oct 20.",Ticket Release
Email blast to Mailchimp list,Amanda,Stuck,2026-10-25,"Drafted in Mailchimp, not sent.",Ticket Release
Instagram announcement post,Amanda,Stuck,2026-10-25,"Drafted, not posted.",Ticket Release
LinkedIn announcement,Amanda,Stuck,2026-10-25,"Drafted, not posted. See linkedin/grant_announcements_feed.json draft_posts.",Ticket Release
Santander deposit cleared,Amanda,Done,2026-08-15,"$650 deposit paid Aug 11. Balance of $1,200 due Nov 1.",Venue Coordination
Santander balance due Nov 1,Amanda,Not Started,2026-11-01,,Venue Coordination
Stage diagram with Tony Russo,Amanda,In Progress,2026-10-31,,Venue Coordination
