date	route	distance_mi	duration	avg_pace_min_mi
2025-11-04	Westcott loop	2.4	22:48	9:30
2025-11-08	Thornden Park	3.1	29:46	9:36
2025-11-13	Comstock to campus	2.2	20:55	9:31
2025-11-20	Euclid to Oakwood	2.6	25:01	9:37
2025-11-29	Onondaga Creekwalk	3.0	28:30	9:30
2025-12-06	Thornden Park	2.5	24:05	9:38
2025-12-14	Campus perimeter	2.8	26:52	9:36
2025-12-21	Westcott loop	2.3	21:44	9:27
2026-01-10	Treadmill, Archbold	2.0	19:20	9:40
2026-01-18	Comstock to campus	2.2	21:10	9:37
2026-01-25	Thornden Park	2.7	25:48	9:33
2026-02-07	Euclid to Oakwood	2.6	24:39	9:29
TOTAL		30.4		
