media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
media_0010000001,190,219,34,10,0,19,2
media_0010000002,347,163,14,0,4,8,4
media_0010000003,528,98,27,12,1,2,2
media_0010000004,597,457,15,11,0,27,4
media_0010000005,486,231,42,3,1,20,2
media_0010000006,286,250,20,2,1,11,3
media_0010000007,794,71,21,3,4,0,0
media_0010000008,343,424,26,14,4,16,2
media_0010000009,702,293,57,13,3,17,4
media_0010000010,914,416,51,6,3,10,1
media_0010000011,810,144,41,14,3,26,3
media_0010000012,532,722,31,4,4,22,0
media_0010000013,759,261,18,8,0,27,2
media_0010000014,946,291,22,8,4,25,4
media_0010000015,569,386,48,3,3,26,2
media_0010000016,400,583,58,2,3,23,0
media_0010000017,463,389,37,12,4,21,0
media_0010000018,243,493,54,7,2,20,4
media_0010000019,816,307,30,12,0,27,4
media_0010000020,470,574,6,3,4,19,1
media_0010000021,596,246,28,6,0,11,2
media_0010000022,877,585,42,14,0,21,1
media_0010000023,866,713,47,3,0,19,2
media_0010000024,395,437,19,9,4,6,4
media_0010000025,768,468,40,14,0,23,3
media_0010000026,358,399,5,4,1,10,4
media_0010000027,653,633,54,13,1,18,2
media_0010000028,826,232,59,10,4,24,1
media_0010000029,760,160,49,3,0,15,0
media_0010000030,196,55,58,1,4,21,2
media_0010000031,441,624,54,13,1,18,3
media_0010000032,755,316,46,9,2,12,4
media_0010000033,344,549,22,1,4,12,2
media_0010000034,348,190,8,2,4,24,2
media_0010000035,771,751,49,4,4,1,2
media_0010000036,510,104,48,10,0,14,0
media_0010000037,806,83,38,8,0,5,4
media_0010000038,382,531,5,14,1,28,0
media_0010000039,591,673,45,7,4,7,4
media_0010000040,455,762,25,10,1,15,4
media_0010000041,605,437,26,11,4,17,2
media_0010000042,184,387,36,10,3,19,2
media_0010000043,325,639,23,9,0,9,4
media_0010000044,289,91,16,5,1,0,1
media_0010000045,151,219,53,11,3,0,3
media_0010000046,167,520,14,5,1,17,2
media_0010000047,407,156,46,2,3,17,0
media_0010000048,203,72,9,4,1,27,1
media_0010000049,483,173,27,10,2,4,0
media_0010000050,259,573,58,0,3,19,0
media_0010000051,199,161,18,10,3,14,4
media_0010000052,917,386,16,9,2,6,4
media_0010000053,233,638,31,6,0,12,3
media_0010000054,482,622,41,12,2,11,0
media_0010000055,478,630,13,14,4,29,0
media_0010000056,889,682,35,7,2,13,2
media_0010000057,734,181,8,1,4,2,0
media_0010000058,918,416,37,7,1,14,3
media_0010000059,423,474,52,4,0,21,2
media_0010000060,694,80,39,7,1,28,1
media_0010000061,945,739,55,10,4,3,3
media_0010000062,600,495,45,7,1,3,2
media_0010000063,318,481,31,10,2,9,2
media_0010000064,309,562,16,4,3,2,0
media_0010000065,176,373,36,9,0,21,4
media_0010000066,596,544,50,3,1,28,4
media_0010000067,973,142,47,11,2,27,1
media_0010000068,498,150,49,11,3,24,3
media_0010000069,270,583,24,3,0,20,2
media_0010000070,202,160,52,2,2,16,3
media_0010000071,920,543,31,1,1,20,1
media_0010000072,575,359,35,2,0,19,3
media_0010000073,328,628,52,7,4,9,1
media_0010000074,951,398,59,4,1,11,4
media_0010000075,977,739,39,2,1,20,2
media_0010000076,508,285,43,4,0,11,3
media_0010000077,330,650,10,13,0,23,4
media_0010000078,415,41,40,7,1,10,4
media_0010000079,231,409,46,0,1,14,2
media_0010000080,525,741,57,11,4,3,4
media_0010000081,477,162,16,11,4,19,3
media_0010000082,685,720,29,3,2,28,2
media_0010000083,922,782,41,1,1,17,1
media_0010000084,845,751,17,12,4,3,3
media_0010000085,885,146,10,1,3,1,4
media_0010000086,848,373,46,4,3,9,2
media_0010000087,611,283,51,10,2,29,2
media_0010000088,948,260,43,9,2,15,3
media_0010000089,264,780,55,0,2,25,3
media_0010000090,768,305,12,13,4,19,0
