product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
prd_rot_chicken,ret_publix,Rotisserie Chicken,Publix,Deli,each,7.99,true,,
prd_milk,ret_publix,Organic Whole Milk,Publix Organic,Dairy,1 gal,5.99,true,,
prd_eggs,ret_publix,Large Brown Eggs,Publix,Dairy,dozen,4.49,true,,
prd_pasta,ret_publix,Spaghetti,Barilla,Pasta,16 oz,1.99,true,,
prd_marinara,ret_publix,Traditional Marinara,Rao's Homemade,Pasta Sauce,24 oz,6.99,true,,
prd_bananas,ret_publix,Bananas,Publix,Produce,per lb,0.59,true,,
prd_blueberries,ret_publix,Fresh Blueberries,Publix,Produce,6 oz,3.99,true,,
prd_bread,ret_publix,Whole Wheat Loaf,Nature's Own,Bakery,20 oz,3.49,true,,
prd_yogurt,ret_publix,Plain Greek Yogurt,Publix Organic,Dairy,32 oz,4.99,true,,
prd_hummus,ret_publix,Original Hummus,Sabra,Deli,10 oz,4.49,true,,
prd_carrots,ret_publix,Baby Carrots,Publix,Produce,1 lb,1.99,true,,
prd_cheerios,ret_publix,Original Cheerios,General Mills,Cereal,18 oz,4.99,true,,
prd_oats,ret_costco,Rolled Oats 10 lb,Kirkland,Cereal,10 lb,11.99,true,,
prd_almonds,ret_costco,Raw Almonds 3 lb,Kirkland,Snacks,3 lb,15.99,true,,
prd_coffee_beans,ret_publix,Ethiopian Yirgacheffe,Batdorf and Bronson,Coffee,12 oz,18.99,true,,
prd_101,ret_walgreens,Almond Milk,Rao's,Household,each,4.75,true,,
prd_102,ret_publix,Broccoli,Silk,Bakery,each,9.94,true,,
prd_103,ret_walmart,Whole Grain Bread,Rao's,Produce,each,11.77,true,,
prd_104,ret_costco,Extra Virgin Olive Oil,Barilla,Dairy,each,4.04,true,,
prd_105,ret_walgreens,Pasta Sauce,Signature,Dairy,each,1.83,true,,
prd_106,ret_cvs,Ground Beef,Bogle,Produce,each,3.75,true,,
prd_107,ret_sprouts,Chicken Breast,Rao's,Bakery,each,4.16,true,,
prd_108,ret_publix,Salmon Fillet,Rao's,Beverages,each,7.9,true,,
prd_109,ret_wholefoods,Frozen Peas,Nature Own,Frozen,each,9.27,true,,
prd_110,ret_costco,Vanilla Yogurt,Publix,Meat,each,4.08,true,,
prd_111,ret_kroger,Sourdough Loaf,Signature,Bakery,each,11.58,true,,
prd_112,ret_walgreens,Sparkling Water,Bogle,Snacks,each,6.84,true,,
prd_113,ret_walgreens,Iced Coffee,Rao's,Meat,each,9.77,true,,
prd_114,ret_sprouts,Peanut Butter,Rao's,Beverages,each,2.52,true,,
prd_115,ret_target,Almonds,Signature,Pantry,each,4.75,true,,
prd_116,ret_aldi,Apples,Rao's,Produce,each,4.02,true,,
prd_117,ret_target,Oranges,Kirkland,Bakery,each,1.03,true,,
prd_118,ret_walgreens,Grapes,Signature,Dairy,each,2.54,true,,
prd_119,ret_sprouts,Baby Spinach,Rao's,Meat,each,5.83,true,,
prd_120,ret_wholefoods,Kale,Signature,Bakery,each,10.51,true,,
prd_121,ret_sprouts,Kombucha,Publix,Produce,each,3.21,true,,
prd_122,ret_walmart,Yogurt Cups,Rao's,Deli,each,3.82,true,,
