Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
1,Holiday Food Catering,Elena's Kitchen dinner,Service,3400.0,200,Holiday Food Expense,true,false
2,Holiday Altar Arrangement,Casa Flores altar arrangement,Service,475.0,201,Holiday Floral Expense,false,false
3,Holiday Music,Los Hermanos Trio,Service,600.0,202,Holiday Music Expense,false,false
4,Holiday Rentals,El Paso Party Rentals,Service,380.0,203,Holiday Rentals Expense,false,false
5,Holiday Audio,Audio Express,Service,175.0,204,Holiday Audio Expense,false,false
6,Holiday Wellness Booth,Wellness booth supplies,Inventory,400.0,205,Holiday Wellness Booth,false,true
7,Holiday Flyers,Quick Print flyers,Service,87.5,206,Holiday Printing Expense,false,false
8,Holiday Programs,Quick Print programs,Service,62.5,206,Holiday Printing Expense,false,false
9,Holiday Pledge,Holiday pledge revenue,Service,0.0,100,Holiday Fund,false,false
10,Weekly Tithe,Sunday tithe,Service,0.0,500,Weekly Tithe Income,true,false
11,Easter Offering,Easter Sunday offering,Service,0.0,501,Easter Offering Income,true,false
12,Building Fund Gift,Building fund,Service,0.0,502,Building Fund Income,true,false
13,Missions Gift,Missions designated,Service,0.0,503,Missions Income,true,false
14,Music Ministry Gift,Music ministry,Service,0.0,500,Weekly Tithe Income,true,false
15,Youth Ministry Gift,Youth ministry,Service,0.0,500,Weekly Tithe Income,true,false
16,VBS Registration,VBS week,Service,25.0,500,Weekly Tithe Income,true,false
17,Food Pantry Gift,Food pantry,Service,0.0,500,Weekly Tithe Income,true,false
18,Christmas Gift,Christmas fund,Service,0.0,500,Weekly Tithe Income,true,false
19,Altar Flower Sponsor,Weekly altar flowers,Service,45.0,500,Weekly Tithe Income,true,false
20,Fellowship Hall 3hr,Fellowship hall 3hr rental,Service,250.0,504,Fellowship Hall Rental Income,true,false
21,Fellowship Hall Full-Day,Fellowship hall full day,Service,500.0,504,Fellowship Hall Rental Income,true,false
22,Quinceanera Blessing,Sacramental blessing,Service,350.0,504,Fellowship Hall Rental Income,true,false
23,Wedding Ceremony,Full wedding ceremony,Service,800.0,504,Fellowship Hall Rental Income,true,false
24,Funeral Service,Full funeral service,Service,300.0,504,Fellowship Hall Rental Income,true,false
25,Retreat Registration,Weekend retreat,Service,125.0,500,Weekly Tithe Income,true,false
26,Book Study,Book study fee,Service,20.0,511,Book Study Income,true,false
27,Choir Robe,Choir robe purchase,Inventory,45.0,500,Weekly Tithe Income,true,true
28,Cookbook,Church cookbook,Inventory,18.0,500,Weekly Tithe Income,true,true
29,Prayer Shawl,Prayer shawl ministry,Inventory,35.0,500,Weekly Tithe Income,true,true
