Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
100,Holiday Fund,Bank,Checking,4850.0,true,Asset,Holiday celebration receipts
101,Holiday Pledges Receivable,Other Current Asset,AccountsReceivable,750.0,true,Asset,Unfulfilled 2026 pledges
200,Holiday Food Expense,Expense,SuppliesMaterials,3400.0,true,Expense,Elena's Kitchen confirmed
201,Holiday Floral Expense,Expense,SuppliesMaterials,475.0,true,Expense,Casa Flores confirmed
202,Holiday Music Expense,Expense,OtherMiscellaneousServiceCost,600.0,true,Expense,Los Hermanos Trio
203,Holiday Rentals Expense,Expense,EquipmentRental,380.0,true,Expense,El Paso Party Rentals confirmed
204,Holiday Audio Expense,Expense,EquipmentRental,175.0,true,Expense,Audio Express
205,Holiday Wellness Booth,Expense,SuppliesMaterials,400.0,true,Expense,Matt's wellness booth line
206,Holiday Printing Expense,Expense,OfficeGeneralAdministrativeExpenses,150.0,true,Expense,Quick Print flyers+programs
207,Holiday Beverages,Expense,SuppliesMaterials,200.0,true,Expense,Costco beverages Matt purchase
208,Holiday Paper Goods,Expense,SuppliesMaterials,125.0,true,Expense,Costco paper goods Matt purchase
209,Holiday Children's Area,Expense,SuppliesMaterials,200.0,true,Expense,Children's crafts + supplies
210,Holiday Cleanup,Expense,SuppliesMaterials,50.0,true,Expense,Cleanup supplies
211,Holiday Parking,Expense,SuppliesMaterials,25.0,true,Expense,Parking signage + cones
212,Holiday Contingency,Expense,OtherMiscellaneousExpense,250.0,true,Expense,Contingency reserve
110,Rio Grande FCU Operating,Bank,Checking,12480.55,true,Asset,Church operating account
120,Easter Fund,Bank,Checking,1240.0,true,Asset,2026 Easter offering surplus
121,Missions Fund,Bank,Checking,3820.5,true,Asset,Missions designated giving
122,Building Fund,Bank,Checking,42150.75,true,Asset,Building maintenance reserve
123,Youth Ministry Fund,Bank,Checking,1875.2,true,Asset,Youth activities
124,Music Ministry Fund,Bank,Checking,980.4,true,Asset,Choir & instrument
125,VBS Fund,Bank,Checking,1150.0,true,Asset,Vacation Bible School 2027 prep
126,Food Pantry Fund,Bank,Checking,2340.8,true,Asset,Weekly food distribution
127,Christmas Fund,Bank,Checking,625.0,true,Asset,Christmas caroling+meal reserve
128,Altar Fund,Bank,Checking,470.5,true,Asset,Altar linens+candles
129,Cemetery Care Fund,Bank,Checking,1820.0,true,Asset,Cerro Verde plots maintenance
130,Prepaid Insurance,Other Current Asset,PrepaidExpenses,850.0,true,Asset,Church property insurance 2027 prepaid
140,Fixed Assets - Building,Fixed Asset,Buildings,425000.0,true,Asset,Sanctuary+fellowship hall
141,Fixed Assets - Piano,Fixed Asset,FurnitureAndFixtures,4200.0,true,Asset,1962 upright piano
142,Fixed Assets - Sound System,Fixed Asset,OtherFixedAssets,6800.0,true,Asset,Sanctuary sound
143,Accumulated Depreciation,Fixed Asset,AccumulatedDepreciation,-58200.0,true,Asset,Non-cash depreciation
300,Accounts Payable,Accounts Payable,AccountsPayable,4855.0,true,Liability,AP for confirmed vendors
301,Payroll Liabilities,Other Current Liability,PayrollTaxPayable,1250.0,true,Liability,Withholding+FICA
302,Utility Payable,Other Current Liability,OtherCurrentLiabilities,890.0,true,Liability,EP Electric current bill
400,Unrestricted Net Assets,Equity,OpeningBalanceEquity,156000.0,true,Equity,Church operating net assets
401,Restricted Net Assets,Equity,OpeningBalanceEquity,48200.0,true,Equity,Missions+building restricted
500,Weekly Tithe Income,Income,ServiceFeeIncome,148245.0,true,Revenue,YTD weekly Sunday tithe
501,Easter Offering Income,Income,ServiceFeeIncome,6820.0,true,Revenue,2026 Easter
502,Building Fund Income,Income,ServiceFeeIncome,12400.0,true,Revenue,Building fund gifts
503,Missions Income,Income,ServiceFeeIncome,4820.0,true,Revenue,Mission designated gifts
504,Fellowship Hall Rental Income,Income,ServiceFeeIncome,8250.0,true,Revenue,Wedding+quinceanera+funeral
510,Concert & Event Income,Income,ServiceFeeIncome,1450.0,true,Revenue,Ticketed events
511,Book Study Income,Income,ServiceFeeIncome,640.0,true,Revenue,Book study fees
600,Utilities Expense,Expense,Utilities,4820.0,true,Expense,Electric+gas+water
601,Insurance Expense,Expense,Insurance,3200.0,true,Expense,Property+liability
602,Repairs & Maintenance,Expense,RepairMaintenance,2450.0,true,Expense,HVAC+plumbing
603,Office Supplies,Expense,OfficeGeneralAdministrativeExpenses,820.0,true,Expense,Office supplies
604,Postage,Expense,OfficeGeneralAdministrativeExpenses,180.0,true,Expense,Mailing
605,Pastor Salary,Expense,PayrollExpenses,62400.0,true,Expense,Pastor David compensation
606,Music Director Salary,Expense,PayrollExpenses,4800.0,true,Expense,Part-time music director
607,Custodian Wages,Expense,PayrollExpenses,12500.0,true,Expense,Part-time custodian
608,Guest Honoraria,Expense,OtherMiscellaneousServiceCost,1200.0,true,Expense,Guest preachers
609,Missionary Support,Expense,CharitableContributions,6000.0,true,Expense,Supported missionaries
610,Youth Ministry Expense,Expense,SuppliesMaterials,1450.0,true,Expense,Youth activities
611,Food Pantry Expense,Expense,CharitableContributions,8250.0,true,Expense,Weekly distributions
612,Property Tax,Expense,OtherMiscellaneousExpense,0.0,true,Expense,Exempt - 501c3
613,Bank Charges,Expense,BankCharges,380.0,true,Expense,Stripe+Square+PayPal fees
614,Depreciation Expense,Expense,OtherMiscellaneousExpense,8420.0,true,Expense,Non-cash annual
310,AP - Casa Flores,Accounts Payable,AccountsPayable,475.0,true,Liability,Confirmed altar arrangement
311,AP - Elena Kitchen,Accounts Payable,AccountsPayable,3400.0,true,Liability,Confirmed dinner catering
