id,name,id_card,id_board,items
chk_0001,Checklist,card_00001,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0002,Checklist,card_00002,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0003,Checklist,card_00003,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0004,Checklist,card_00004,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0005,Checklist,card_00005,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0006,Checklist,card_00006,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
chk_0007,Checklist,card_00007,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0008,Checklist,card_00008,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0009,Checklist,card_00009,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0010,Checklist,card_00010,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0011,Checklist,card_00011,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0012,Checklist,card_00012,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0013,Checklist,card_00013,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
chk_0014,Checklist,card_00014,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0015,Checklist,card_00015,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
chk_0016,Checklist,card_00016,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0017,Checklist,card_00017,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0018,Checklist,card_00018,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0019,Checklist,card_00019,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0020,Checklist,card_00020,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
chk_0021,Checklist,card_00021,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0022,Checklist,card_00022,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0023,Checklist,card_00023,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
chk_0024,Checklist,card_00024,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0025,Checklist,card_00025,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0026,Checklist,card_00026,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0027,Checklist,card_00027,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0028,Checklist,card_00028,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0029,Checklist,card_00029,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0030,Checklist,card_00030,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0031,Checklist,card_00031,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0032,Checklist,card_00032,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
chk_0033,Checklist,card_00033,brd_commission_queue,Confirm bench slot;Confirm stone selection;Send invoice
chk_0034,Checklist,card_00034,brd_commission_queue,Order part;Test fit;Prime and paint
chk_0035,Checklist,card_00035,brd_commission_queue,Photograph piece;Update Notion;Post to Instagram
