Tool	Type	Detail	Location	Condition
Cordless drill driver	Power	18V cordless	Second shelf	Good
Circular saw	Power	18V cordless	Second shelf	Good
Oscillating multi-tool	Power	18V cordless	Second shelf	Good
Wet tile saw, 7 in	Power	Corded	Floor stand	New
Hammer, 22 oz framing	Hand	Forged steel	Pegboard	Good
Tape measure, 25 ft	Hand	Standard	Pegboard	Good
Speed square	Hand	Aluminum	Pegboard	Good
Level, 48 in	Hand	Box beam	Pegboard	Good
Chisels, set	Hand	Bench set	Workbench drawer	Good
Workbench	Fixture	Built by Raul, refinished	Center of shop	Restored
