Title	Author	Date Finished	Genre	Rating (1-5)	Notes
The Lincoln Highway	Amor Towles	2024-01-21	Historical Fiction	5	Favorite of the year. Loved the voice.
Grant	Ron Chernow	2024-02-05	Biography	4	Long but worth it.
The Personal Memoirs of Ulysses S. Grant	Ulysses S. Grant	2024-02-20	Memoir	5	Surprisingly readable. Honest man.
Say Nothing	Patrick Radden Keefe	2024-03-06	Narrative Nonfiction	4	Dark. Stayed with me.
The Pillars of the Earth	Ken Follett	2024-04-05 (reread)	Historical Fiction	5	Still wonderful.
Team of Rivals	Doris Kearns Goodwin	2024-04-05	Biography	5	Lincoln gets better every time I read about him.
The Nightingale	Kristin Hannah	2024-04-20	Historical Fiction	4	Emotionally hard. Good though.
A Gentleman in Moscow	Amor Towles	2024-05-05	Historical Fiction	5	Towles is becoming my favorite.
All the Light We Cannot See	Anthony Doerr	2024-05-20	Historical Fiction	4	Beautiful writing. Slow start.
The Dutch House	Ann Patchett	2024-06-04	Literary Fiction	4	Thought about family a lot while reading.
John Adams	David McCullough	2024-06-19	Biography	5	McCullough makes history feel like conversation.
The Covenant of Water	Abraham Verghese	2024-07-19	Historical Fiction	5	Sweeping. Did not want it to end.
Lincoln	David Herbert Donald	2024-08-03	Biography	4	Drier than McCullough but thorough.
The Evening and the Morning	Ken Follett	2024-08-18	Historical Fiction	4	Good prequel. Not quite as strong as original.
The Women	Kristin Hannah	2024-09-17	Historical Fiction	5	Cried twice. Recommended to Marge.
FDR	Jean Edward Smith	2024-10-02	Biography	4	Fair and well researched.
The Four Winds	Kristin Hannah	2024-10-17	Historical Fiction	4	Depressing but important.
Eisenhower in War and Peace	Jean Edward Smith	2024-11-01	Biography	4	Better on the military years than the presidency.
The Island of Sea Women	Lisa See	2024-11-16	Historical Fiction	4	Fascinating culture I knew nothing about.
Truman	David McCullough	2024-12-01	Biography	5	As good as his Adams book. Truman was a decent man.
The Mystery of Mrs. Christie	Marie Benedict	2024-12-17	Historical Mystery	3	Fun but lighter than I usually like.
House of Thieves	Charles Belfoure	2025-01-15	Historical Fiction	3	Entertaining. Would not reread.
The Warmth of Other Suns	Isabel Wilkerson	2025-01-30	Narrative Nonfiction	5	One of the best nonfiction books I have read.
Washington: A Life	Ron Chernow	2025-02-14	Biography	4	Washington is complicated. Chernow is reliable.
The Maid	Nita Prose	2025-03-01	Mystery	4	Quick read. Charming main character.
Tess of the d Urbervilles	Thomas Hardy	2025-04-01	Classic Fiction	5	Reread. Still crushes you.
Andrew Jackson: His Life and Times	H.W. Brands	2025-04-30	Biography	3	Hard to like the subject.
The Frozen River	Ariel Lawhon	2025-05-15	Historical Fiction	5	Set in colonial Maine. Gripping.
JFK: Coming of Age in the American Century	Frederick Logevall	2025-06-14	Biography	4	Only the early years but well done.
Herbert Hoover: A Life	Glen Jeansonne	2025-07-14	Biography	3	Fair reassessment. Still hard to warm to him.
James	Percival Everett	2025-09-14	Historical Fiction	5	Brilliant reframing of Huckleberry Finn.
The Heaven and Earth Grocery Store	James McBride	2025-09-29	Historical Fiction	5	Rich and surprising. Highly recommend.
Roosevelt: The Soldier of Freedom	James MacGregor Burns	2025-10-29	Biography	4	Exhaustive on the war years.
The Art Thief	Michael Finkel	2025-11-14	Narrative Nonfiction	4	Fascinating true story.
The Women I Think About at Night	Mia Kankimaki	2025-12-14	Memoir/Essays	3	Interesting but a little wandering.
The God of the Woods	Laura Moore	2026-01-15	Mystery	4	Suspenseful. Good winter read.
James Monroe: A Life	Tim McGrath	2026-02-14	Biography	4	Monroe deserves more attention.
