Checkout Date	Return Date	Title	Author	Format	Status
2024-01-08	2024-01-22	The Lincoln Highway	Amor Towles	Hardcover	Returned
2024-01-23	2024-02-06	Grant	Ron Chernow	Hardcover	Returned
2024-02-07	2024-02-21	The Personal Memoirs of Ulysses S. Grant	Ulysses S. Grant	Paperback	Returned
2024-02-22	2024-03-07	Say Nothing	Patrick Radden Keefe	Hardcover	Returned
2024-03-08	2024-03-22	The Pillars of the Earth	Ken Follett	Paperback	Returned
2024-03-23	2024-04-06	Team of Rivals	Doris Kearns Goodwin	Hardcover	Returned
2024-04-07	2024-04-21	The Nightingale	Kristin Hannah	Paperback	Returned
2024-04-22	2024-05-06	A Gentleman in Moscow	Amor Towles	Hardcover	Returned
2024-05-07	2024-05-21	All the Light We Cannot See	Anthony Doerr	Paperback	Returned
2024-05-22	2024-06-05	The Dutch House	Ann Patchett	Hardcover	Returned
2024-06-06	2024-06-20	John Adams	David McCullough	Hardcover	Returned
2024-06-21	2024-07-05	Hillary Clinton: A Woman Living History	Karen Blumenthal	Paperback	Returned
2024-07-06	2024-07-20	The Covenant of Water	Abraham Verghese	Hardcover	Returned
2024-07-21	2024-08-04	Lincoln	David Herbert Donald	Paperback	Returned
2024-08-05	2024-08-19	The Evening and the Morning	Ken Follett	Hardcover	Returned
2024-08-20	2024-09-03	Come Thou Tortoise	Jessica Grant	Paperback	Returned
2024-09-04	2024-09-18	The Women	Kristin Hannah	Hardcover	Returned
2024-09-19	2024-10-03	FDR	Jean Edward Smith	Hardcover	Returned
2024-10-04	2024-10-18	The Four Winds	Kristin Hannah	Paperback	Returned
2024-10-19	2024-11-02	Eisenhower in War and Peace	Jean Edward Smith	Hardcover	Returned
2024-11-03	2024-11-17	The Island of Sea Women	Lisa See	Hardcover	Returned
2024-11-18	2024-12-02	Truman	David McCullough	Hardcover	Returned
2024-12-03	2024-12-17	The Mystery of Mrs. Christie	Marie Benedict	Hardcover	Returned
2024-12-18	2025-01-01	The Paris Spy	Susan Elia MacNeal	Paperback	Returned
2025-01-02	2025-01-16	House of Thieves	Charles Belfoure	Paperback	Returned
2025-01-17	2025-01-31	The Warmth of Other Suns	Isabel Wilkerson	Hardcover	Returned
2025-02-01	2025-02-15	Washington: A Life	Ron Chernow	Hardcover	Returned
2025-02-16	2025-03-02	The Maid	Nita Prose	Hardcover	Returned
2025-03-03	2025-03-17	Remembrance	Theodore Dreiser	Paperback	Returned
2025-03-18	2025-04-01	The Lacuna	Barbara Kingsolver	Hardcover	Returned
2025-04-02	2025-04-16	Tess of the d Urbervilles	Thomas Hardy	Paperback	Returned
2025-04-17	2025-05-01	Andrew Jackson: His Life and Times	H.W. Brands	Hardcover	Returned
2025-05-02	2025-05-16	The Frozen River	Ariel Lawhon	Hardcover	Returned
2025-05-17	2025-05-31	Midnight in the Garden of Good and Evil	John Berendt	Paperback	Returned
2025-06-01	2025-06-15	JFK: Coming of Age in the American Century	Frederick Logevall	Hardcover	Returned
2025-06-16	2025-06-30	The Alice Network	Kate Quinn	Paperback	Returned
2025-07-01	2025-07-15	Herbert Hoover: A Life	Glen Jeansonne	Hardcover	Returned
2025-07-16	2025-07-30	The Rose Code	Kate Quinn	Paperback	Returned
2025-08-01	2025-08-15	Calypso	David Sedaris	Hardcover	Returned
2025-08-16	2025-08-30	The Only Woman in the Room	Marie Benedict	Paperback	Returned
2025-09-01	2025-09-15	James	Percival Everett	Hardcover	Returned
2025-09-16	2025-09-30	The Heaven and Earth Grocery Store	James McBride	Hardcover	Returned
2025-10-01	2025-10-15	Roosevelt: The Soldier of Freedom	James MacGregor Burns	Hardcover	Returned
2025-10-16	2025-10-30	The Art Thief	Michael Finkel	Hardcover	Returned
2025-11-01	2025-11-15	Intermezzo	Sally Rooney	Hardcover	Returned
2025-11-16	2025-11-30	The Women I Think About at Night	Mia Kankimaki	Hardcover	Returned
2025-12-01	2025-12-15	Afton Revisited	John Collins	Paperback	Returned
2025-12-16	2025-12-30	The God of the Woods	Laura Moore	Hardcover	Returned
2026-01-02	2026-01-16	James Monroe: A Life	Tim McGrath	Hardcover	Returned
2026-01-17	2026-01-31	The Frozen River	Ariel Lawhon	Paperback	Returned
2026-02-01	2026-02-15	Covenant of Water	Abraham Verghese	Hardcover	Returned
2026-02-16	2026-02-28	Bewilderment	Richard Powers	Hardcover	Returned
