chat_id,user_id,status
-200500,9001,creator
-200500,9002,administrator
-200500,9003,member
-200500,9004,member
-200500,7654321098,administrator
-200501,9001,creator
-200501,7654321098,administrator
-200502,9004,creator
-200502,9005,member
1009,1009,active
1010,1010,general
1011,1011,closed
1012,1012,open
1013,1013,general
1014,1014,standard
1015,1015,general
1016,1016,pending
1017,1017,pending
1018,1018,active
1019,1019,closed
1020,1020,standard
1021,1021,standard
1022,1022,active
1023,1023,open
1024,1024,general
1025,1025,standard
1026,1026,standard
1027,1027,general
1028,1028,open
1029,1029,standard
1030,1030,closed
1031,1031,active
1032,1032,general
1033,1033,closed
1034,1034,closed
1035,1035,standard
1036,1036,pending
1037,1037,active
1038,1038,pending
1039,1039,standard
1040,1040,general
1041,1041,active
1042,1042,standard
1043,1043,standard
1044,1044,pending
1045,1045,open
1046,1046,open
1047,1047,general
1048,1048,pending
1049,1049,closed
1050,1050,active
1051,1051,pending
1052,1052,active
1053,1053,active
1054,1054,pending
1055,1055,open
1056,1056,open
1057,1057,closed
1058,1058,active
1059,1059,general
1060,1060,standard
1061,1061,standard
1062,1062,standard
1063,1063,general
1064,1064,active
1065,1065,closed
1066,1066,closed
1067,1067,pending
1068,1068,active
1069,1069,closed
1070,1070,pending
1071,1071,general
1072,1072,general
1073,1073,active
1074,1074,open
1075,1075,open
1076,1076,pending
1077,1077,general
1078,1078,active
1079,1079,open
1080,1080,pending
1081,1081,general
1082,1082,pending
1083,1083,standard
1084,1084,standard
1085,1085,standard
1086,1086,active
1087,1087,active
1088,1088,standard
1089,1089,pending
1090,1090,general
1091,1091,pending
1092,1092,standard
1093,1093,active
1094,1094,closed
1095,1095,active
1096,1096,active
1097,1097,general
1098,1098,general
1099,1099,general
