Herb	Bed Location	Sow or Transplant	Target Window	Spacing (in)	Sun	Notes
Lavender	Lavender bed south	Transplant	2027-04-15 to 2027-05-01	18	Full sun	Established Munstead variety
Rosemary	Lavender bed south	Transplant	2027-05-01 to 2027-05-15	24	Full sun	Overwinter check needed
Basil	Raised bed near patio	Transplant	2027-05-15 to 2027-06-01	10	Full sun	Start indoors March
Thyme	Border by birdbath	Transplant	2027-04-15 to 2027-05-01	12	Full sun	Creeping variety
Parsley	Raised bed near patio	Direct sow	2027-04-01 to 2027-04-20	8	Part sun	Soak seed overnight
Cilantro	Raised bed near patio	Direct sow	2027-04-01, succession every 3 wk	6	Part sun	Bolts in heat
Mint	Container by fence	Transplant	2027-04-15 to 2027-05-01	Container	Part sun	Keep contained, spreads
Chives	Border by dogwood	Transplant	2027-04-01 to 2027-04-20	8	Full sun	Perennial, divides well
Sage	Lavender bed south	Transplant	2027-05-01 to 2027-05-15	18	Full sun	Pairs with rosemary
Dill	Raised bed near patio	Direct sow	2027-04-20 to 2027-05-10	10	Full sun	Attracts beneficials
