Title	Author	Genre	Start_Date	Finish_Date	Rating	Source	Note
The Berry Pickers	Amanda Peters	Literary fiction	2025-10-02	2025-10-19	4	Library app	Quiet and sad in a good way
North Woods	Daniel Mason	Literary fiction	2025-10-21	2025-11-09	5	Library app	One house across centuries, loved it
The Heaven and Earth Grocery Store	James McBride	Historical fiction	2025-11-11	2025-12-01	5	Bookstore purchase	Renee was right again
Wellness	Nathan Hill	Domestic fiction	2025-12-03	2025-12-22	3	Library app	Smart but went long
The Fury	Alex Michaelides	Thriller	2025-12-27	2026-01-08	3	Library app	Holiday brain candy
Martyr	Kaveh Akbar	Literary fiction	2026-01-10	2026-01-30	4	Library app	Beautiful sentences
The God of the Woods	Liz Moore	Mystery	2026-02-01	2026-02-19	5	Bookstore purchase	Could not put it down
Table for Two	Amor Towles	Short stories	2026-10-04	2026-10-20	4	Library app	Back to reading after a slow stretch
Long Island	Colm Toibin	Domestic fiction	2026-10-22	2026-11-10	4	Library app	Sequel worth it
Playground	Richard Powers	Literary fiction	2026-11-14	2026-12-05	4	Library app	Renee pick for the walk
