id,stone_id,kind,origin,weight_g,cost_total_usd,remaining_pieces,acquired_date
recSTN0001,STN-0001,Kingman turquoise,Mexico Turquoise Lot (Telegram),8.73,297.93,7,2024-10-24
recSTN0002,STN-0002,Sleeping Beauty turquoise,Mexico Turquoise Lot (Telegram),4.38,246.43,12,2026-01-12
recSTN0003,STN-0003,Sleeping Beauty turquoise,Kee Wholesale (Santa Fe),5.56,64.15,8,2024-08-01
recSTN0004,STN-0004,Spiny oyster,Rio Grande Jewelry Supply,9.07,62.93,1,2025-10-07
recSTN0005,STN-0005,Wild Horse magnesite,Rio Grande Jewelry Supply,35.79,125.81,4,2025-05-25
recSTN0006,STN-0006,Pilot Mountain turquoise,Otteson Bros,28.98,128.41,6,2025-07-16
recSTN0007,STN-0007,Bisbee turquoise,Mexico Turquoise Lot (Telegram),18.82,301.35,6,2024-11-11
recSTN0008,STN-0008,Sleeping Beauty turquoise,Mexico Turquoise Lot (Telegram),36.2,235.16,0,2025-07-19
recSTN0009,STN-0009,Sleeping Beauty turquoise,Rio Grande Jewelry Supply,25.32,52.82,8,2025-08-07
recSTN0010,STN-0010,Bisbee turquoise,Kee Wholesale (Santa Fe),37.38,288.27,9,2024-12-01
recSTN0011,STN-0011,Sleeping Beauty turquoise,Beadwrights,27.99,156.35,9,2026-06-04
recSTN0012,STN-0012,Mediterranean coral,Otteson Bros,35.12,314.85,11,2025-07-19
recSTN0013,STN-0013,Wild Horse magnesite,Rio Grande Jewelry Supply,10.24,32.58,2,2026-04-28
recSTN0014,STN-0014,Wild Horse magnesite,Beadwrights,25.23,286.76,7,2025-04-28
recSTN0015,STN-0015,Mediterranean coral,Mexico Turquoise Lot (Telegram),26.81,177.81,12,2025-08-31
recSTN0016,STN-0016,Royston turquoise,Rio Grande Jewelry Supply,9.16,173.18,2,2026-01-07
recSTN0017,STN-0017,Blue Gem turquoise,Kee Wholesale (Santa Fe),32.52,348.23,11,2024-12-14
recSTN0018,STN-0018,Sleeping Beauty turquoise,Otteson Bros,32.46,77.1,8,2025-12-11
recSTN0019,STN-0019,Number 8 turquoise,Kee Wholesale (Santa Fe),40.7,238.78,4,2025-11-14
recSTN0020,STN-0020,Sleeping Beauty turquoise,Otteson Bros,12.04,273.75,9,2025-12-20
recSTN0021,STN-0021,Royston turquoise,Otteson Bros,37.14,365.25,7,2026-03-07
recSTN0022,STN-0022,Blue Gem turquoise,Beadwrights,36.64,106.57,5,2026-03-01
recSTN0023,STN-0023,Blue Gem turquoise,Beadwrights,7.85,114.83,9,2024-07-18
recSTN0024,STN-0024,Blue Gem turquoise,Otteson Bros,5.37,173.25,12,2025-03-26
recSTN0025,STN-0025,Blue Gem turquoise,Mexico Turquoise Lot (Telegram),30.6,365.06,7,2024-09-18
recSTN0026,STN-0026,Cerrillos turquoise,Mexico Turquoise Lot (Telegram),36.69,278.05,5,2025-04-25
recSTN0027,STN-0027,Wild Horse magnesite,Rio Grande Jewelry Supply,42.34,350.55,1,2025-09-01
recSTN0028,STN-0028,Pilot Mountain turquoise,Rio Grande Jewelry Supply,22.78,92.05,3,2024-07-23
recSTN0029,STN-0029,Blue Gem turquoise,Mexico Turquoise Lot (Telegram),16.95,74.74,8,2024-10-14
recSTN0030,STN-0030,Kingman turquoise,Rio Grande Jewelry Supply,27.32,285.77,9,2024-11-26
recSTN0031,STN-0031,Mediterranean coral,Beadwrights,9.61,212.84,7,2025-02-19
recSTN0032,STN-0032,Mediterranean coral,Otteson Bros,32.19,270.71,11,2024-08-18
recSTN0033,STN-0033,Number 8 turquoise,Mexico Turquoise Lot (Telegram),6.75,224.26,2,2025-01-16
recSTN0034,STN-0034,Cerrillos turquoise,Mexico Turquoise Lot (Telegram),5.09,38.85,7,2024-07-24
recSTN0035,STN-0035,Blue Gem turquoise,Mexico Turquoise Lot (Telegram),40.67,115.72,6,2025-11-15
recSTN0036,STN-0036,Number 8 turquoise,Beadwrights,25.62,92.85,2,2025-07-02
recSTN0037,STN-0037,Pilot Mountain turquoise,Rio Grande Jewelry Supply,18.95,336.73,2,2025-12-13
recSTN0038,STN-0038,Pilot Mountain turquoise,Mexico Turquoise Lot (Telegram),3.73,229.14,4,2025-03-12
