id,name,type,messages_total,messages_unread,threads_total,threads_unread
lbl_001,INBOX,system,600,15,580,15
lbl_002,SENT,system,120,0,110,0
lbl_003,IMPORTANT,system,45,8,40,8
lbl_004,SPAM,system,12,2,12,2
lbl_005,TRASH,system,5,0,5,0
lbl_006,Health,user,25,3,20,3
lbl_007,Finance,user,30,2,28,2
lbl_008,Book Club,user,15,1,12,1
lbl_009,Conference,user,8,2,6,2
lbl_010,Family,user,20,3,18,3
lbl_011,Harborfield,user,35,5,30,5
lbl_012,Literacy Foundation,user,12,2,10,2
lbl_013,Recipes,user,8,0,8,0
lbl_014,Prescriptions,user,6,1,5,1
lbl_015,Pilates,user,10,1,8,1
