asset,balance
XETH,0.08200000
ZUSD,8.14
XETH-e001,0.08200000
ZUSD-e001,8.14
XETH-e002,0.08200000
ZUSD-e002,8.14
XETH-e003,0.08200000
ZUSD-e003,8.14
XETH-e004,0.08200000
ZUSD-e004,8.14
XETH-e005,0.08200000
ZUSD-e005,8.14
XETH-e006,0.08200000
ZUSD-e006,8.14
XETH-e007,0.08200000
ZUSD-e007,8.14
XETH-e008,0.08200000
ZUSD-e008,8.14
XETH-e009,0.08200000
ZUSD-e009,8.14
XETH-e010,0.08200000
ZUSD-e010,8.14
XETH-e011,0.08200000
ZUSD-e011,8.14
XETH-e012,0.08200000
ZUSD-e012,8.14
XETH-e013,0.08200000
ZUSD-e013,8.14
XETH-e014,0.08200000
ZUSD-e014,8.14
XETH-e015,0.08200000
ZUSD-e015,8.14
XETH-e016,0.08200000
ZUSD-e016,8.14
XETH-e017,0.08200000
ZUSD-e017,8.14
XETH-e018,0.08200000
ZUSD-e018,8.14
XETH-e019,0.08200000
ZUSD-e019,8.14
XETH-e020,0.08200000
ZUSD-e020,8.14
XETH-e021,0.08200000
ZUSD-e021,8.14
XETH-e022,0.08200000
ZUSD-e022,8.14
XETH-e023,0.08200000
ZUSD-e023,8.14
XETH-e024,0.08200000
ZUSD-e024,8.14
XETH-e025,0.08200000
ZUSD-e025,8.14
XETH-e026,0.08200000
ZUSD-e026,8.14
XETH-e027,0.08200000
ZUSD-e027,8.14
XETH-e028,0.08200000
ZUSD-e028,8.14
XETH-e029,0.08200000
ZUSD-e029,8.14
XETH-e030,0.08200000
ZUSD-e030,8.14
XETH-e031,0.08200000
ZUSD-e031,8.14
XETH-e032,0.08200000
ZUSD-e032,8.14
XETH-e033,0.08200000
ZUSD-e033,8.14
XETH-e034,0.08200000
ZUSD-e034,8.14
XETH-e035,0.08200000
ZUSD-e035,8.14
XETH-e036,0.08200000
ZUSD-e036,8.14
XETH-e037,0.08200000
ZUSD-e037,8.14
XETH-e038,0.08200000
ZUSD-e038,8.14
XETH-e039,0.08200000
ZUSD-e039,8.14
