pair,altname,ask,bid,last,volume,high,low,open
XETHZUSD,ETHUSD,3680.15,3679.85,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e001,ETHUSD,3680.15,13679.9,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e002,ETHUSD,3680.15,23679.8,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e003,ETHUSD,3680.15,33679.8,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e004,ETHUSD,3680.15,43679.8,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e005,ETHUSD,3680.15,53679.8,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e006,ETHUSD,3680.15,63679.8,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e007,ETHUSD,3680.15,73679.9,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e008,ETHUSD,3680.15,83679.9,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e009,ETHUSD,3680.15,93679.9,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e010,ETHUSD,3680.15,103680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e011,ETHUSD,3680.15,113680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e012,ETHUSD,3680.15,123680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e013,ETHUSD,3680.15,133680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e014,ETHUSD,3680.15,143680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e015,ETHUSD,3680.15,153680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e016,ETHUSD,3680.15,163680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e017,ETHUSD,3680.15,173680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e018,ETHUSD,3680.15,183680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e019,ETHUSD,3680.15,193680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e020,ETHUSD,3680.15,203680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e021,ETHUSD,3680.15,213680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e022,ETHUSD,3680.15,223680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e023,ETHUSD,3680.15,233680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e024,ETHUSD,3680.15,243680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e025,ETHUSD,3680.15,253680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e026,ETHUSD,3680.15,263680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e027,ETHUSD,3680.15,273680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e028,ETHUSD,3680.15,283680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e029,ETHUSD,3680.15,293680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e030,ETHUSD,3680.15,303680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e031,ETHUSD,3680.15,313680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e032,ETHUSD,3680.15,323680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e033,ETHUSD,3680.15,333680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e034,ETHUSD,3680.15,343680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e035,ETHUSD,3680.15,353680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e036,ETHUSD,3680.15,363680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e037,ETHUSD,3680.15,373680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e038,ETHUSD,3680.15,383680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e039,ETHUSD,3680.15,393680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e040,ETHUSD,3680.15,403680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e041,ETHUSD,3680.15,413680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e042,ETHUSD,3680.15,423680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e043,ETHUSD,3680.15,433680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e044,ETHUSD,3680.15,443680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e045,ETHUSD,3680.15,453680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e046,ETHUSD,3680.15,463680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e047,ETHUSD,3680.15,473680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e048,ETHUSD,3680.15,483680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e049,ETHUSD,3680.15,493680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e050,ETHUSD,3680.15,503680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e051,ETHUSD,3680.15,513680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e052,ETHUSD,3680.15,523680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e053,ETHUSD,3680.15,533680,3680.00,42150.20,3712.40,3611.90,3612.60
XETHZUSD-e054,ETHUSD,3680.15,543680,3680.00,42150.20,3712.40,3611.90,3612.60
