pair,altname,wsname,base,quote,pair_decimals,lot_decimals,ordermin,status
XETHZUSD,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e001,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e002,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e003,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e004,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e005,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e006,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e007,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e008,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e009,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e010,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e011,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e012,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e013,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e014,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e015,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e016,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e017,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e018,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e019,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e020,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e021,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e022,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e023,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e024,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e025,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e026,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e027,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e028,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e029,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e030,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e031,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e032,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e033,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e034,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e035,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e036,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e037,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e038,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e039,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e040,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e041,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e042,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e043,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e044,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e045,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e046,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e047,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e048,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e049,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e050,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e051,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e052,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e053,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e054,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e055,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e056,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e057,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e058,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e059,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e060,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e061,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e062,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e063,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e064,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e065,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e066,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e067,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e068,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e069,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e070,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e071,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e072,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e073,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e074,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e075,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e076,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e077,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e078,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
XETHZUSD-e079,ETHUSD,ETH/USD,XETH,ZUSD,2,8,0.01,online
