id,product,unit_amount,currency,recurring_interval,active,nickname
price_b8d6b456a0373d,prod_82b09dc624281f,1900,usd,month,true,Starter plan - monthly
price_f46a30376253db,prod_6fdcb3e7001492,4900,usd,month,true,Pro plan - monthly
price_8a96840b25912c,prod_813468e14a61b4,14900,usd,month,true,Business plan - monthly
price_34d2ee58524e49,prod_e8bbb182e6ede1,49000,usd,year,true,Pro plan - annual
price_732822010115be,prod_d1a70d88883cf0,75000,usd,,true,Implementation services
price_9a9442610ea938,prod_3a643eb147e5a3,18000,usd,,true,Consultation - 60 min
price_a4148824278447,prod_702d06f5142336,12000,usd,,true,Brand kit
price_27820d8902e942,prod_a193fe658d7625,4500,usd,,true,Welcome pack
price_5f810714c0479c,prod_39e317352ebe97,2800,usd,,true,Tee - large
price_6081de547da312,prod_4b4bc65c73490b,3500,usd,,true,Notebook bundle
price_b8d6b456a03740,prod_82b09dc6242820,450000,usd,month,true,HIPAA retainer - monthly
price_b8d6b456a03741,prod_82b09dc6242821,1000000,usd,,true,SOC 2 readiness - one-time
price_b8d6b456a03742,prod_82b09dc6242822,1200000,usd,,true,Quarterly audit
price_b8d6b456a03743,prod_82b09dc6242823,1500000,usd,,true,Penetration test - project
price_b8d6b456a03744,prod_82b09dc6242824,400000,usd,month,true,Security retainer - monthly
price_b8d6b456a03745,prod_82b09dc6242825,4800,usd,,true,First Generation hoodie
price_b8d6b456a03746,prod_82b09dc6242826,3200,usd,,true,Lagos to Greensboro vinyl
price_b8d6b456a03747,prod_82b09dc6242827,2800,usd,,true,Signature tee
price_b8d6b456a03748,prod_82b09dc6242828,3900,usd,,true,Sample pack - one-time
price_b8d6b456a03749,prod_82b09dc6242829,20000,usd,,true,Consulting hour
