service_type,service_name,origin_zip,dest_zip,weight_lb,currency,net_charge,transit_days,delivery_day
FEDEX_2_DAY,FedEx Service,43085,10000,24,USD,67.57,5,TUE
PRIORITY_OVERNIGHT,FedEx Service,43085,10007,34,USD,114.45,4,FRI
FEDEX_GROUND,FedEx Service,43085,10014,13,USD,85.0,1,TUE
FEDEX_2_DAY,FedEx Service,43085,10021,39,USD,100.7,5,MON
PRIORITY_OVERNIGHT,FedEx Service,43085,10028,17,USD,58.12,6,FRI
FEDEX_2_DAY,FedEx Service,43085,10035,39,USD,87.41,5,WED
FEDEX_GROUND,FedEx Service,43085,10042,46,USD,43.41,2,FRI
FEDEX_2_DAY,FedEx Service,43085,10049,49,USD,45.34,3,TUE
FEDEX_2_DAY,FedEx Service,43085,10056,4,USD,96.0,2,WED
PRIORITY_OVERNIGHT,FedEx Service,43085,10063,35,USD,36.03,4,WED
FEDEX_GROUND,FedEx Service,43085,10070,26,USD,71.06,1,FRI
FEDEX_GROUND,FedEx Service,43085,10077,10,USD,75.12,6,MON
