id,name,address1,city,region,postal_code,country,latitude,longitude
ven-001,Grand River Community Center,,Detroit,MI,48208,,,
ven-100,Venue 0 Hall,200 Gratiot Ave,Detroit,MI,48210,US,42.300,-83.100
ven-101,Venue 1 Hall,201 Gratiot Ave,Dearborn,MI,48211,US,42.301,-83.101
ven-102,Venue 2 Hall,202 Gratiot Ave,Southfield,MI,48212,US,42.302,-83.102
ven-103,Venue 3 Hall,203 Gratiot Ave,Royal Oak,MI,48213,US,42.303,-83.103
ven-104,Venue 4 Hall,204 Gratiot Ave,Ferndale,MI,48214,US,42.304,-83.104
ven-105,Venue 5 Hall,205 Gratiot Ave,Warren,MI,48215,US,42.305,-83.105
ven-106,Venue 6 Hall,206 Gratiot Ave,Livonia,MI,48216,US,42.306,-83.106
ven-107,Venue 7 Hall,207 Gratiot Ave,Troy,MI,48217,US,42.307,-83.107
ven-108,Venue 8 Hall,208 Gratiot Ave,Novi,MI,48218,US,42.308,-83.108
ven-109,Venue 9 Hall,209 Gratiot Ave,Redford,MI,48219,US,42.309,-83.109
ven-110,Venue 10 Hall,210 Gratiot Ave,Detroit,MI,48220,US,42.310,-83.110
ven-111,Venue 11 Hall,211 Gratiot Ave,Dearborn,MI,48221,US,42.311,-83.111
ven-112,Venue 12 Hall,212 Gratiot Ave,Southfield,MI,48222,US,42.312,-83.112
ven-113,Venue 13 Hall,213 Gratiot Ave,Royal Oak,MI,48223,US,42.313,-83.113
