date,category,subcategory,amount_usd,direction,source_surface,counterparty,memo,conflict_flag,trusted_source
2026-07-01,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-07-01,housing,rent,-1350.00,out,plaid_brightpath,capitol_hill_landlord,jul_rent_dana_half,,plaid
2026-07-02,transport,rtd_pass,-90.00,out,plaid_brightpath,rtd_denver,jul_subsidized_transit,,plaid
2026-07-02,utilities,phone,-55.00,out,plaid_brightpath,att_mobility,jul_line,,plaid
2026-07-03,subscription,music,-11.99,out,plaid_brightpath,spotify_premium,jul_recurring,,plaid
2026-07-03,subscription,insurance,-18.00,out,plaid_brightpath,lemonade_renters,jul_recurring,,plaid
2026-07-05,groceries,latin_market,-84.12,out,plaid_brightpath,aurora_latin_grocery,pantry_run_carnitas_supplies,,plaid
2026-07-06,groceries,tj,-46.88,out,plaid_brightpath,trader_joes,weekday_basics,,plaid
2026-07-08,dining,post_call,-24.30,out,plaid_brightpath,doordash,pho_79_denver_late_call,,plaid
2026-07-10,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-07-12,transport,uber_den,-38.55,out,plaid_brightpath,uber,capitol_hill_to_den_visit_prep,,plaid
2026-07-14,care_package,mama_refund,-42.00,out,paypal,carmen_serrano,tamale_shipping_reimbursement,,paypal
2026-07-15,utilities,split_jess,-38.50,out,paypal,jess_kowalski,jul_utilities_dana_half,,paypal
2026-07-16,wedding,val_bridesmaid_dress,-268.00,out,stripe,wedding_vendor_soona_boutique,alterations_first_fitting,,stripe
2026-07-17,groceries,latin_market,-52.44,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-07-18,dining,post_call,-19.75,out,plaid_brightpath,doordash,,,plaid
2026-07-20,personal,running_gear,-64.20,out,plaid_brightpath,rei_denver,replacement_socks_gaiter,,plaid
2026-07-22,subscription,netflix_share,0.00,out,plaid_brightpath,val_serrano,shared_with_val_no_charge,,plaid
2026-07-25,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-07-26,groceries,tj,-38.19,out,plaid_brightpath,trader_joes,,,plaid
2026-07-28,dining,jess_split,-22.15,out,plaid_brightpath,el_taco_de_mexico,friday_home_together,,plaid
2026-07-29,wedding,val_bachelorette_deposit,-185.00,out,stripe,airbnb,bachelorette_stays_dana_share,,stripe
2026-07-30,personal,books,-24.00,out,plaid_brightpath,tattered_cover,cisneros_reread,,plaid
2026-08-01,housing,rent,-1350.00,out,plaid_brightpath,capitol_hill_landlord,aug_rent_dana_half,,plaid
2026-08-01,transport,rtd_pass,-90.00,out,plaid_brightpath,rtd_denver,aug_subsidized_transit,,plaid
2026-08-02,utilities,phone,-55.00,out,plaid_brightpath,att_mobility,aug_line,,plaid
2026-08-03,subscription,music,-11.99,out,plaid_brightpath,spotify_premium,aug_recurring,,plaid
2026-08-03,subscription,insurance,-18.00,out,plaid_brightpath,lemonade_renters,aug_recurring,,plaid
2026-08-05,care_package,mama_refund,-38.50,out,paypal,carmen_serrano,pozole_shipping_reimbursement,,paypal
2026-08-08,groceries,latin_market,-71.30,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-08-09,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-08-11,wedding,val_gift_registry,-142.00,out,stripe,crate_and_barrel,dutch_oven_registry_line,,stripe
2026-08-12,dining,post_call,-28.14,out,plaid_brightpath,doordash,pho_79_denver_late_call,,plaid
2026-08-15,utilities,split_jess,-41.00,out,paypal,jess_kowalski,aug_utilities_dana_half,,paypal
2026-08-16,groceries,tj,-42.55,out,plaid_brightpath,trader_joes,,,plaid
2026-08-18,transport,uber_den,-44.20,out,plaid_brightpath,uber,late_call_room_exit,,plaid
2026-08-20,personal,coffee_ritual,-32.00,out,plaid_brightpath,rincon_coffee,cafe_de_olla_beans_bulk,,plaid
2026-08-22,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-08-24,wedding,val_bachelorette_flight,-198.00,out,plaid_brightpath,southwest,den_to_sfo_bachelorette,,plaid
2026-08-25,wedding,val_bachelorette_lodging,-165.00,out,stripe,airbnb,bachelorette_weekend_dana_share_supplemental,,stripe
2026-08-26,groceries,latin_market,-58.75,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-08-28,dining,jess_split,-31.40,out,plaid_brightpath,pizzeria_locale,friday_home_together,,plaid
2026-08-30,personal,books,-18.50,out,plaid_brightpath,tattered_cover,kalanithi_paperback,,plaid
2026-09-01,housing,rent,-1350.00,out,plaid_brightpath,capitol_hill_landlord,sep_rent_dana_half,,plaid
2026-09-01,transport,rtd_pass,-90.00,out,plaid_brightpath,rtd_denver,sep_subsidized_transit,,plaid
2026-09-02,utilities,phone,-55.00,out,plaid_brightpath,att_mobility,sep_line,,plaid
2026-09-03,subscription,music,-11.99,out,plaid_brightpath,spotify_premium,sep_recurring,,plaid
2026-09-03,subscription,insurance,-18.00,out,plaid_brightpath,lemonade_renters,sep_recurring,,plaid
2026-09-04,care_package,mama_refund,-46.75,out,paypal,carmen_serrano,mole_negro_shipping_reimbursement,,paypal
2026-09-05,groceries,latin_market,-68.20,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-09-06,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-09-08,wedding,val_gift_registry,-95.00,out,stripe,west_elm,registry_serving_platters,,stripe
2026-09-09,dining,post_call,-22.50,out,plaid_brightpath,doordash,,,plaid
2026-09-12,groceries,tj,-49.30,out,plaid_brightpath,trader_joes,,,plaid
2026-09-14,utilities,split_jess,-39.75,out,paypal,jess_kowalski,sep_utilities_dana_half,,paypal
2026-09-15,personal,pcp_copay,-40.00,out,plaid_brightpath,greenleaf_health,eye_exam_contact_refill,,plaid
2026-09-16,transport,uber_den,-41.85,out,plaid_brightpath,uber,,,plaid
2026-09-18,wedding,val_maid_of_honor_dress,-315.00,out,stripe,rent_the_runway,final_purchase_over_rental,,stripe
2026-09-20,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-09-21,personal,folklorico_supply,-42.30,out,plaid_brightpath,etsy,rebozo_gift_for_val_bridesmaid,,plaid
2026-09-22,groceries,latin_market,-52.10,out,plaid_brightpath,aurora_latin_grocery,,,plaid
2026-09-24,dining,jess_split,-27.60,out,plaid_brightpath,work_and_class,friday_home_together,,plaid
2026-09-26,wedding,val_bridesmaid_shoes,-88.00,out,stripe,zappos,ivory_flats_wedding_day,,stripe
2026-09-28,transport,uber_den,-42.40,out,plaid_brightpath,uber,,,plaid
2026-09-30,personal,books,-22.00,out,plaid_brightpath,tattered_cover,verghese_paperback,,plaid
2026-10-01,housing,rent,-1350.00,out,plaid_brightpath,capitol_hill_landlord,oct_rent_dana_half,,plaid
2026-10-01,transport,rtd_pass,-90.00,out,plaid_brightpath,rtd_denver,oct_subsidized_transit,,plaid
2026-10-02,utilities,phone,-55.00,out,plaid_brightpath,att_mobility,oct_line,,plaid
2026-10-03,subscription,music,-11.99,out,plaid_brightpath,spotify_premium,oct_recurring,,plaid
2026-10-03,subscription,insurance,-18.00,out,plaid_brightpath,lemonade_renters,oct_recurring,,plaid
2026-10-04,income,salary,3247.63,in,plaid_brightpath,stonebridge_healthcare,semi_monthly_direct_deposit,,plaid
2026-10-05,care_package,mama_refund,-51.25,out,paypal,carmen_serrano,carnitas_frozen_shipping_reimbursement,,paypal
2026-10-06,groceries,latin_market,-64.50,out,plaid_brightpath,aurora_latin_grocery,,,plaid
