line,category,type,monthly_amount,retirement_scenario_150,retirement_scenario_250,retirement_scenario_400,notes
net_take_home,income,in,4200.00,4200.00,4200.00,4200.00,semi_monthly_avg_pgy2_step_taxes_deducted
rent_dana_half,housing,fixed,-1350.00,-1350.00,-1350.00,-1350.00,cap_hill_2br_share_jess_renewal_pending
rent_renewal_sensitivity_low,housing,fixed,0.00,0.00,0.00,0.00,flat_renewal_scenario_base_case
rent_renewal_sensitivity_mid,housing,fixed,-50.00,-50.00,-50.00,-50.00,50_dollar_bump_dana_half_from_zillow_comps
rent_renewal_sensitivity_high,housing,fixed,-100.00,-100.00,-100.00,-100.00,100_dollar_bump_dana_half_stretch_case
utilities_dana_half,housing,fixed,-40.00,-40.00,-40.00,-40.00,split_with_jess_paypal
rtd_pass,transport,fixed,-90.00,-90.00,-90.00,-90.00,stonebridge_subsidised
phone,utilities,fixed,-55.00,-55.00,-55.00,-55.00,att_line
spotify,subscription,fixed,-11.99,-11.99,-11.99,-11.99,music
renters_insurance,subscription,fixed,-18.00,-18.00,-18.00,-18.00,lemonade
netflix,subscription,fixed,0.00,0.00,0.00,0.00,shared_with_val
loan_payment_save_or_paye,loan,fixed,-312.00,-312.00,-312.00,-312.00,recommended_plan_income_driven_pgy3_year
retirement_403b_contribution,retirement,fixed,0.00,-150.00,-250.00,-400.00,scenario_toggle_stonebridge_match_uncertain_confirm_hr
groceries,variable,variable,-320.00,-320.00,-320.00,-320.00,aurora_latin_market_trader_joes
dining_post_call,variable,variable,-90.00,-90.00,-90.00,-90.00,doordash_late_night
dining_jess_friday,variable,variable,-30.00,-30.00,-30.00,-30.00,friday_home_together_dana_share
coffee_ritual,variable,variable,-25.00,-25.00,-25.00,-25.00,rincon_coffee_cafe_de_olla_bulk
personal_books,variable,variable,-25.00,-25.00,-25.00,-25.00,tattered_cover_reading_queue
running_gear,variable,variable,-20.00,-20.00,-20.00,-20.00,rei_seasonal_replacement
uber_den,variable,variable,-40.00,-40.00,-40.00,-40.00,airport_late_hospital_exit
care_package_refund_mama,family,variable,-45.00,-45.00,-45.00,-45.00,estimated_avg_across_2026
buffer_for_wedding_tail,family,variable,-25.00,-25.00,-25.00,-25.00,tapers_off_by_march_2027
buffer_for_holiday_family,family,variable,-40.00,-40.00,-40.00,-40.00,thanksgiving_christmas_care_visits
guadalajara_trip_amortised,family,variable,-95.00,-95.00,-95.00,-95.00,jan_2027_trip_amortised_over_5_months_est_475_total
total_fixed_out,,fixed,-1876.99,-2026.99,-2126.99,-2276.99,before_variable
total_variable_out,,variable,-755.00,-755.00,-755.00,-755.00,estimated_avg
total_out,,total,-2631.99,-2781.99,-2881.99,-3031.99,fixed_plus_variable
end_of_month_cushion,,cushion,1568.01,1418.01,1318.01,1168.01,before_savings_transfer_before_rent_renewal_bump
end_of_month_cushion_mid_rent,,cushion,1518.01,1368.01,1268.01,1118.01,after_50_dollar_rent_renewal
end_of_month_cushion_high_rent,,cushion,1468.01,1318.01,1218.01,1068.01,after_100_dollar_rent_renewal
