pair,base,currency,amount
BTC-USD,BTC,USD,68200.15
ETH-USD,ETH,USD,3280.50
USDC-USD,USDC,USD,1.00
SOL-USD,SOL,USD,182.40
MATIC-USD,MATIC,USD,0.65
BTC-EUR,BTC,EUR,15997.96
BTC-GBP,BTC,GBP,36378.38
BTC-USDT,BTC,USDT,939.39
BTC-USDC,BTC,USDC,16045.88
ETH-EUR,ETH,EUR,59642.22
ETH-GBP,ETH,GBP,44461.03
ETH-USDT,ETH,USDT,66942.16
ETH-USDC,ETH,USDC,31539.69
USDC-EUR,USDC,EUR,5637.3
USDC-GBP,USDC,GBP,22892.99
USDC-USDT,USDC,USDT,62664.83
SOL-EUR,SOL,EUR,49505.0
SOL-GBP,SOL,GBP,472.47
SOL-USDT,SOL,USDT,14369.31
SOL-USDC,SOL,USDC,5364.1
MATIC-EUR,MATIC,EUR,13831.82
MATIC-GBP,MATIC,GBP,22833.91
MATIC-USDT,MATIC,USDT,445.21
MATIC-USDC,MATIC,USDC,28683.27
AVAX-USD,AVAX,USD,60990.94
AVAX-EUR,AVAX,EUR,63435.2
AVAX-GBP,AVAX,GBP,22685.45
AVAX-USDT,AVAX,USDT,21010.5
AVAX-USDC,AVAX,USDC,58966.55
DOT-USD,DOT,USD,53110.74
DOT-EUR,DOT,EUR,11616.52
DOT-GBP,DOT,GBP,3168.38
DOT-USDT,DOT,USDT,52489.09
DOT-USDC,DOT,USDC,53672.44
LINK-USD,LINK,USD,21255.4
LINK-EUR,LINK,EUR,4183.45
LINK-GBP,LINK,GBP,23191.84
LINK-USDT,LINK,USDT,24031.08
LINK-USDC,LINK,USDC,45115.15
UNI-USD,UNI,USD,36501.99
UNI-EUR,UNI,EUR,58264.68
UNI-GBP,UNI,GBP,36035.54
UNI-USDT,UNI,USDT,19446.24
UNI-USDC,UNI,USDC,21799.44
ATOM-USD,ATOM,USD,55761.57
ATOM-EUR,ATOM,EUR,51483.98
ATOM-GBP,ATOM,GBP,50353.59
ATOM-USDT,ATOM,USDT,17014.5
ATOM-USDC,ATOM,USDC,602.39
XRP-USD,XRP,USD,63334.05
XRP-EUR,XRP,EUR,48003.37
XRP-GBP,XRP,GBP,33721.67
XRP-USDT,XRP,USDT,68984.95
XRP-USDC,XRP,USDC,28699.28
DOGE-USD,DOGE,USD,53656.27
DOGE-EUR,DOGE,EUR,25786.14
DOGE-GBP,DOGE,GBP,36583.67
DOGE-USDT,DOGE,USDT,6838.7
DOGE-USDC,DOGE,USDC,54139.58
LTC-USD,LTC,USD,62817.32
LTC-EUR,LTC,EUR,54603.49
LTC-GBP,LTC,GBP,18968.84
LTC-USDT,LTC,USDT,60660.39
LTC-USDC,LTC,USDC,51777.76
BCH-USD,BCH,USD,10650.41
BCH-EUR,BCH,EUR,6359.59
BCH-GBP,BCH,GBP,13023.63
BCH-USDT,BCH,USDT,48409.22
BCH-USDC,BCH,USDC,43808.83
ADA-USD,ADA,USD,52711.84
ADA-EUR,ADA,EUR,31173.23
ADA-GBP,ADA,GBP,29090.31
ADA-USDT,ADA,USDT,5518.98
ADA-USDC,ADA,USDC,59991.93
TRX-USD,TRX,USD,1592.5
TRX-EUR,TRX,EUR,59085.89
TRX-GBP,TRX,GBP,62282.06
TRX-USDT,TRX,USDT,28044.59
TRX-USDC,TRX,USDC,68370.51
APT-USD,APT,USD,63530.93
APT-EUR,APT,EUR,35306.17
APT-GBP,APT,GBP,27150.44
APT-USDT,APT,USDT,61207.77
APT-USDC,APT,USDC,14266.41
