Month	Rainfall_mm	Rain_Days	Recorded_By	Site	Notes
2025-01	8	1	Mr. Chukwuma Eze	Ude-Enu Primary Site	Dry season, negligible
2025-02	21	3	Mr. Chukwuma Eze	Ude-Enu Primary Site	Light early showers
2025-03	118	9	Mr. Chukwuma Eze	Ude-Enu Primary Site	Onset of rains, planting window
2025-04	186	14	Mr. Chukwuma Eze	Ude-Enu Primary Site	First peak
2025-05	221	17	Mr. Chukwuma Eze	Ude-Enu Primary Site	Heavy, good establishment
2025-06	244	19	Mr. Chukwuma Eze	Ude-Enu Primary Site	Wettest month
2025-07	198	16	Mr. Chukwuma Eze	Ude-Enu Primary Site	Short dry spell mid month
2025-08	152	13	Mr. Chukwuma Eze	Ude-Enu Primary Site	August break felt this year
2025-09	263	20	Mr. Chukwuma Eze	Ude-Enu Primary Site	Second peak, bimodal
2025-10	187	14	Mr. Chukwuma Eze	Ude-Enu Primary Site	Tapering, harvest begins
2025-11	64	6	Mr. Chukwuma Eze	Ude-Enu Primary Site	Rains ending
2025-12	12	2	Mr. Chukwuma Eze	Ude-Enu Primary Site	Dry season returns
TOTAL	1674	134			Annual total close to the 1,850 mm long term mean
