Date	Crop	Variety	Quantity_kg	Use	Notes
2025-01-12	Tomato	Roma	2.4	Kitchen	First proper pick of the dry season
2025-02-09	Pepper	Scotch bonnet	0.8	Kitchen	Very hot this batch
2025-03-16	Tomato	Roma	3.1	Kitchen and gift	Gave some to Blessing
2025-04-20	Herbs	Basil and parsley	0.3	Kitchen	For tabbouleh
2025-05-18	Tatashe	Red bell	1.6	Kitchen	Good for jollof base
2025-06-22	Tomato	Roma	2.9	Kitchen	Rainy season slugs a problem
2025-07-13	Pepper	Cayenne	1.1	Dried	Dried on the balcony
2025-08-17	Cassava	Experimental TMS plot	4.2	Trial and kitchen	Backyard test plot, small but healthy
2025-09-21	Tomato	Roma	2.2	Kitchen	Tailing off
2025-10-19	Herbs	Mint	0.4	Kitchen and tea	Mint tea for the evenings
2025-11-23	Pepper	Scotch bonnet	0.9	Kitchen	Last of the year
2026-01-11	Tomato	Roma	1.8	Kitchen	Early dry season pick
