Date	Session_Type	Duration_min	Time	Notes
2025-12-01	Vinyasa flow	30	5:30 AM	Before the household woke
2025-12-03	Hatha and stretch	25	5:30 AM	Stiff shoulders from desk work
2025-12-05	Vinyasa flow	30	5:30 AM	Good energy
2025-12-08	Restorative	20	9:30 PM	Tension headache, gentle only
2025-12-10	Vinyasa flow	30	5:30 AM	
2025-12-12	Hatha and stretch	30	5:30 AM	Cool morning
2025-12-15	Vinyasa flow	35	5:30 AM	Longer, felt strong
2026-01-05	Vinyasa flow	30	5:30 AM	Back to routine after the holidays
2026-01-07	Hatha and stretch	25	5:30 AM	
2026-01-09	Restorative	20	9:30 PM	Wind down before field week
2026-01-12	Vinyasa flow	30	5:30 AM	
2026-01-14	Vinyasa flow	30	5:30 AM	Three a week holding steady
