Item_ID	Equipment_Name	Category	Location	Manufacturer	Model	Serial_Number	Purchase_Year	Condition	Last_Serviced	Responsible_Person	Notes
EQ-001	Portable pH Meter	Soil Analysis	NNU Lab Room 12A	Hanna Instruments	HI9813-6N	HI9813-4412	2023	Good	2025-01-08	Derek Walsh	Calibrate before each field trip
EQ-002	Soil Moisture Sensor (x4)	Field Monitoring	Field Store Udi-P01 site	METER Group	EC-5	EC5-2024-01 to 04	2024	Good	2025-02-14	Derek Walsh	Check batteries monthly
EQ-003	Portable Refractometer	Crop Analysis	NNU Lab Room 12A	ATAGO	PAL-1	PAL2023-7741	2023	Good	2025-01-08	Layla McBride	Measure dry matter on harvest day
EQ-004	Digital Weighing Scale 200kg	Harvest Logistics	NNU Lab Room 12A	Kern	HDB 200K100	HDB2022-3892	2022	Fair	2024-11-20	Derek Walsh	Calibrate quarterly; slight drift noted
EQ-005	Field Data Tablets (x3)	Data Collection	NNU Lab Room 12A	Samsung	Galaxy Tab A9	XT901 XT902 XT903	2024	Good	2025-01-15	Layla McBride	Keep charged; KoBoCollect installed
EQ-006	Handheld GPS Unit	Field Navigation	NNU Lab Room 12A	Garmin	eTrex 32x	GRMN-2024-0041	2024	Good	2025-01-15	Derek Walsh	Export to Airtable after each visit
EQ-007	Spectrophotometer (UV-Vis)	Nutritional Analysis	NNU Department Lab	Shimadzu	UV-1800	UVB-2019-88821	2019	Fair	2024-06-10	Dr. Emeka Okafor	Shared with dept; book in advance
EQ-008	Centrifuge	Sample Processing	NNU Department Lab	Eppendorf	5424R	EPP-2020-11092	2020	Good	2024-09-15	Derek Walsh	Cold centrifuge; book 48hr ahead
EQ-009	Cassava Grating Machine	Post-Harvest Processing	ESFES Demo Plot, Nsukka	Agro-Allied Nig.	CG-250	N/A	2023	Good	2025-03-01	ESFES Coordinator	Petrol powered; keep fuel locked
EQ-010	Thermocouple Thermometer	Environmental Monitoring	Field Store	Hanna Instruments	HI935005	HI935-44312	2023	Good	2025-01-08	Derek Walsh	For soil temperature at planting
EQ-011	Digital Camera (Field Documentation)	Documentation	NNU Lab Room 12A	Canon	EOS M50 II	CNM50-2023-4411	2023	Good	2025-01-15	Layla McBride	Label photos with plot ID
EQ-012	Rainfall Gauge	Field Monitoring	Ude-Enu Primary Site	Hellmann	Standard 200cm2	RG-UDE-01	2024	Good	2025-01-15	Mr. Chukwuma Eze (farmer)	Farmer reads daily; photos sent to Layla
EQ-013	Oven (60 degree dry weight)	Sample Processing	NNU Department Lab	Memmert	UN55	MEM-2018-70032	2018	Fair	2024-08-20	Derek Walsh	Older unit; thermostat inconsistent above 80C
EQ-014	Portable Generator 2kVA	Power Backup (Field)	NNU Lab Room 12A	Firman	SPG2200	N/A	2022	Good	2025-01-08	Derek Walsh	For field lab tent during harvest day analysis
EQ-015	Ice Boxes Large (x5)	Sample Preservation	NNU Lab Room 12A	Coleman	70qt Xtreme	N/A	2023	Good	N/A	Layla McBride	Keep frozen gel packs stocked
