Title	Author	Genre	Format	Date_Started	Date_Finished	Rating_out_of_5	Notes
The Joys of Motherhood	Buchi Emecheta	Literary Fiction	Paperback	2025-01-03	2025-01-18	5	Powerful and brutal; recommended by Nadia for the Enugu parallel
An Introduction to Plant Biotechnology	H. S. Chawla	Agricultural Science	Hardcover	2025-01-20	2025-02-28	4	Reference reading for Emeka's Chapter 2 guidance; strong on marker-assisted selection
A Psalm for the Wild-Built	Becky Chambers	Science Fiction	ePub	2025-02-05	2025-02-12	5	Read in two evenings; exactly what I needed after grant deadline week
Homegoing	Yaa Gyasi	Literary Fiction	Paperback	2025-02-14	2025-03-01	5	Stunning; bought impulsively at Standard Book Centre with two others
Plant Breeding and Genetics	Seth Narro et al.	Agricultural Science	PDF download	2025-03-10	2025-04-15	3	Useful for yam section; somewhat dated on molecular methods
The Famished Road	Ben Okri	Literary Fiction	Paperback	2025-04-02	2025-04-28	4	Dense and worth it; third read; keeps giving
Americanah	Chimamanda Ngozi Adichie	Literary Fiction	Paperback	2025-05-01	2025-05-19	5	Reread; every time more layers; read on the drive to the field site
Food Sovereignty and Peasants	La Via Campesina (ed.)	Agrarian Studies	PDF download	2025-05-20	2025-06-10	4	Essential for the cooperative framing chapter idea; very political
The Linden Tree	Leila Aboulela	Literary Fiction	Paperback	2025-06-15	2025-07-02	5	Aboulela speaks directly to the in-between; bought at Houston airport last December
African Smallholder Farming Systems	IFPRI Research Report	Agricultural Policy	PDF download	2025-07-05	2025-07-30	4	Excellent for grant proposal framing; extensive Nigeria coverage
The Kite Runner	Khaled Hosseini	Literary Fiction	Paperback	2025-08-04	2025-08-18	5	Second read; cried again; need not explain
A Thousand Splendid Suns	Khaled Hosseini	Literary Fiction	Paperback	2025-08-20	2025-09-07	5	Back to back Hosseini was a lot but I have no regrets
Plant Molecular Biology	Bob Goldberg	Agricultural Science	Hardcover	2025-09-10	2025-10-20	3	Checking cassava RNA extraction protocols for Emeka's work
Purple Hibiscus	Chimamanda Ngozi Adichie	Literary Fiction	Paperback	2025-10-22	2025-11-05	5	Keep returning to Enugu through her pages
Miniature Wife and Other Stories	Manuel Gonzalez	Short Stories	Paperback	2025-11-10	2025-11-22	3	Birthday impulse buy; uneven but the title story is great
The Ministry for the Future	Kim Stanley Robinson	Climate Fiction	Hardcover	2025-11-25	2026-01-10	4	Dense but important; the agriculture chapters hit hard
Tender is the Flesh	Agustina Bazterrica	Literary Horror	Paperback	2026-01-12	2026-01-20	4	Disturbing; makes you think about food systems in a gut-punch way
The Joys of Motherhood	Buchi Emecheta	Literary Fiction	Paperback	2026-01-25	2026-02-10	5	Re-read because I loaned the copy to Adaeze; bought a second
