tableId,id,name,type
tblProdTracker,fldBatchId,batch_id,singleLineText
tblProdTracker,fldSku,sku,singleLineText
tblProdTracker,fldPlannedBbl,planned_volume_bbl,number
tblProdTracker,fldTank,tank_assignment,singleLineText
tblProdTracker,fldGrainLb,grain_lb_required,number
tblProdTracker,fldMashDate,mash_date_planned,date
tblProdTracker,fldFermDays,fermentation_days,number
tblProdTracker,fldCondWeeks,conditioning_weeks,number
tblProdTracker,fldBottling,target_bottling_date,date
tblProdTracker,fldStatus,status,singleLineText
tblProdTracker,fldNotes,notes,multilineText
tblSKU,fldSku,sku,singleLineText
tblSKU,fldStyle,style,singleLineText
tblSKU,fldAbv,abv_pct,number
tblSKU,fldActive,active,checkbox
tblGrainPO,fldPoId,po_id,singleLineText
tblGrainPO,fldSupplier,supplier,singleLineText
tblGrainPO,fldType,grain_type,singleLineText
tblGrainPO,fldLb,lb_committed,number
tblGrainPO,fldRate,unit_price_usd,number
tblGrainPO,fldDeposit,deposit_paid_usd,number
tblGrainPO,fldOpenBal,open_balance_usd,number
tblGrainPO,fldDate,po_date,date
