id,title,overview,release_date,vote_average,vote_count,genre_ids,popularity,original_language
1001,Encanto,A young Colombian girl must save her family's magical home when its enchantment begins to fade.,2021-11-24,7.4,8450,16;10751;14,142.3,en
1002,Turning Red,A thirteen-year-old girl transforms into a giant red panda whenever she gets too excited.,2022-03-11,7.1,5210,16;35;10751,118.7,en
1003,Inside Out,The emotions inside a young girl's mind guide her through a difficult move to a new city.,2015-06-19,8.2,17640,16;10751;12,205.4,en
1004,The Boy and the Heron,A grieving boy enters a fantastical world guided by a talking heron in Miyazaki's return.,2023-07-14,7.6,2180,16;14;12,88.6,ja
1005,Minari,A Korean-American family moves to rural Arkansas to start a farm in the 1980s.,2020-12-11,7.4,1980,18,42.1,ko
1006,Past Lives,Two childhood friends reunite in New York decades after being separated by emigration.,2023-06-02,7.8,2650,18;10749,64.9,ko
1007,Parasite,A poor family schemes to become employed by a wealthy household with dark consequences.,2019-05-30,8.5,17200,53;18;35,178.5,ko
1008,The Farewell,A Chinese-American woman returns to China under the pretense of a wedding to say goodbye to her grandmother.,2019-07-12,7.5,1420,18;35,38.7,en
1009,Moana,A young Polynesian navigator sets sail to save her people alongside a disgraced demigod.,2016-11-23,7.6,11840,16;10751;12,155.2,en
1010,Coco,A boy accidentally travels to the Land of the Dead and uncovers his family's musical history.,2017-11-22,8.4,17910,16;10751;14,182.6,en
