id,name,overview,first_air_date,vote_average,vote_count,genre_ids,popularity,number_of_seasons,number_of_episodes
2001,The Diplomat,An American ambassador to the UK navigates political crises and a complicated marriage.,2023-04-20,8.0,4210,18;10768,152.4,2,16
2002,Bluey,A six-year-old Blue Heeler puppy and her family turn everyday moments into imaginative adventures.,2018-10-01,9.4,3860,16;10751;35,218.7,3,155
2003,Squid Game,Debt-ridden players compete in deadly childhood games for a life-changing cash prize.,2021-09-17,8.0,15420,10759;9648;18,285.9,2,16
2004,Pachinko,Four generations of a Korean family navigate loss and hope across Japan and Korea.,2022-03-25,8.4,1420,18,68.2,2,16
2005,Extraordinary Attorney Woo,A brilliant autistic attorney takes on cases at a top Seoul law firm.,2022-06-29,8.7,2380,18,94.3,1,16
2006,Mickey Mouse Funhouse,Mickey and his friends explore a magical talking playhouse called Funny.,2021-08-20,7.2,410,16;10751,32.6,3,90
2007,The Crown,The reign of Queen Elizabeth II from the 1940s through the modern era.,2016-11-04,8.6,8720,18,142.5,6,60
2008,Marvel Moon Girl and Devil Dinosaur,A thirteen-year-old genius teams up with a red T-rex to protect Manhattan.,2023-02-10,7.8,290,16;10751;10759,28.7,1,10
2009,Reply 1988,Five childhood friends and their families in a Seoul neighborhood in the late 1980s.,2015-11-06,9.2,1240,18;35,55.4,1,20
2010,Doc Martin,A brilliant London surgeon relocates to a small Cornish village to practice as a GP.,2004-09-02,7.9,1810,35;18,42.8,10,80
