id,order_id,customer_id,location_id,amount,currency,source_type,status,receipt_number,created_at
pay_sq_9001,sqr_9001,cus_sq_9001,loc_sq_bw01,42.00,USD,CARD,COMPLETED,BC-1114-01,2026-11-14T10:11:00-05:00
pay_sq_9002,sqr_9002,cus_sq_9002,loc_sq_bw01,58.00,USD,CARD,COMPLETED,BC-1114-02,2026-11-14T10:33:00-05:00
pay_sq_9003,sqr_9003,cus_sq_9003,loc_sq_bw01,36.00,USD,CARD,COMPLETED,BC-1114-03,2026-11-14T11:04:00-05:00
pay_sq_9004,sqr_9004,cus_sq_9004,loc_sq_bw01,79.00,USD,CARD,COMPLETED,BC-1114-04,2026-11-14T11:47:00-05:00
pay_sq_9005,sqr_9005,cus_sq_9005,loc_sq_bw01,65.00,USD,CARD,COMPLETED,BC-1115-01,2026-11-15T09:22:00-05:00
pay_sq_9006,sqr_9006,cus_sq_9006,loc_sq_bw01,109.00,USD,CARD,COMPLETED,BC-1115-02,2026-11-15T09:58:00-05:00
pay_sq_9007,sqr_9007,cus_sq_9007,loc_sq_pu01,48.00,USD,CARD,COMPLETED,PU-1121-01,2026-11-21T10:44:00-05:00
pay_sq_9008,sqr_9008,cus_sq_9008,loc_sq_pu01,79.00,USD,CARD,COMPLETED,PU-1121-02,2026-11-21T11:19:00-05:00
pay_sq_9009,sqr_9009,cus_sq_9009,loc_sq_pu01,109.00,USD,CARD,COMPLETED,PU-1121-03,2026-11-21T13:02:00-05:00
pay_sq_9010,sqr_9010,cus_sq_9010,loc_sq_pu01,26.00,USD,CARD,COMPLETED,PU-1121-04,2026-11-21T14:37:00-05:00
pay_sq_9011,sqr_9011,cus_sq_9011,loc_sq_bw01,65.00,USD,CARD,COMPLETED,BC-1128-01,2026-11-28T10:08:00-05:00
pay_sq_9012,sqr_9012,cus_sq_9012,loc_sq_bw01,79.00,USD,CARD,COMPLETED,BC-1128-02,2026-11-28T11:14:00-05:00
pay_sq_9013,sqr_9013,cus_sq_9013,loc_sq_bw01,109.00,USD,CARD,COMPLETED,BC-1128-03,2026-11-28T12:41:00-05:00
pay_sq_9014,sqr_9014,cus_sq_9014,loc_sq_bw01,109.00,USD,CARD,COMPLETED,BC-1128-04,2026-11-28T13:29:00-05:00
pay_sq_9015,sqr_9015,cus_sq_9015,loc_sq_bw01,79.00,USD,CARD,COMPLETED,BC-1128-05,2026-11-28T14:07:00-05:00
pay_sq_9016,sqr_9016,cus_sq_9016,loc_sq_pu01,109.00,USD,CARD,COMPLETED,PU-1205-01,2026-12-05T10:22:00-05:00
pay_sq_9017,sqr_9017,cus_sq_9017,loc_sq_pu01,79.00,USD,CARD,COMPLETED,PU-1205-02,2026-12-05T11:44:00-05:00
pay_sq_9018,sqr_9018,cus_sq_9018,loc_sq_pu01,65.00,USD,CARD,COMPLETED,PU-1205-03,2026-12-05T12:33:00-05:00
pay_sq_9019,sqr_9019,cus_sq_9019,loc_sq_pu01,48.00,USD,CARD,COMPLETED,PU-1205-04,2026-12-05T13:17:00-05:00
pay_sq_9020,sqr_9020,cus_sq_9020,loc_sq_pu01,79.00,USD,CARD,COMPLETED,PU-1205-05,2026-12-05T14:51:00-05:00
pay_sq_9021,sqr_9021,cus_sq_9021,loc_sq_pu01,109.00,USD,CARD,COMPLETED,PU-1205-06,2026-12-05T15:28:00-05:00
pay_sq_9022,sqr_9022,cus_sq_9022,loc_sq_pu01,109.00,USD,CARD,COMPLETED,PU-1205-07,2026-12-05T16:03:00-05:00
