date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2026-09-01,14,14,22,12,4,3,0,0,0
2026-09-15,9,9,16,8,3,2,0,0,0
2026-09-30,11,11,19,10,5,4,0,0,0
2025-10-04,34,26,48,23,20,15,1,2,1
2026-02-06,35,89,12,17,3,2,4,1,1
2026-04-02,89,17,39,17,5,6,2,3,0
2026-09-08,78,75,6,16,6,15,3,3,2
2026-09-27,66,26,15,30,5,11,3,0,1
2026-04-10,52,49,16,16,19,10,3,2,0
2026-05-21,94,81,42,29,8,9,4,3,2
2025-03-09,37,8,9,24,12,1,3,3,2
2026-04-22,56,89,14,3,8,12,4,3,0
2025-05-26,80,73,40,11,7,10,2,1,1
2025-02-14,11,71,34,25,1,7,0,3,0
2026-07-27,60,89,39,17,9,1,0,2,2
2025-05-06,19,8,26,23,1,7,4,2,0
2026-08-04,41,90,27,16,13,10,0,3,1
2026-05-15,21,95,34,30,4,3,2,0,0
2025-04-18,33,25,16,24,4,15,3,2,2
2025-06-12,31,27,17,6,1,14,2,2,1
2026-03-06,100,66,42,27,1,7,3,2,1
2025-05-17,53,68,50,23,11,12,3,2,2
2025-09-10,27,59,24,17,18,5,4,2,2
2026-01-28,70,82,42,30,1,13,2,1,0
2025-08-17,63,89,11,27,1,15,5,2,1
2026-07-17,61,73,11,7,7,3,5,2,1
2026-07-19,58,88,27,16,10,14,2,2,1
2026-02-19,28,29,39,22,5,11,5,3,0
2025-08-31,82,70,38,16,15,11,1,3,2
2025-07-26,64,11,47,12,2,1,4,0,2
2025-07-08,29,88,15,20,6,6,3,2,2
2025-02-19,56,40,14,6,6,1,2,0,2
2026-08-22,94,44,21,30,17,13,3,3,2
2026-08-09,86,77,33,11,19,6,1,1,0
2025-02-13,34,21,10,8,13,13,2,0,1
2026-02-25,68,95,10,11,11,4,2,3,0
2025-08-19,37,65,35,16,14,5,2,1,1
2025-11-14,47,69,12,11,2,10,4,1,1
2025-07-15,84,82,38,18,7,13,1,2,0
2025-01-19,62,84,31,4,17,3,1,2,0
2026-03-10,71,33,44,7,3,14,3,0,1
2026-06-21,16,70,7,21,1,3,0,1,2
2026-06-22,67,70,31,24,5,8,0,0,1
2025-10-07,63,77,47,6,7,4,0,2,1
2025-10-03,16,45,47,15,9,3,5,1,1
2026-09-12,37,57,47,11,11,7,5,0,2
2026-05-28,62,28,9,28,7,15,1,3,2
2025-12-17,56,60,49,20,1,13,0,2,1
2026-01-20,69,27,20,14,5,2,5,2,0
2026-07-04,44,63,8,9,12,12,4,1,2
2025-09-15,14,70,22,23,3,3,4,1,0
2025-07-16,25,18,34,20,4,11,0,3,2
2025-11-19,85,55,35,19,9,10,1,2,1
2026-08-20,19,37,36,15,18,6,4,1,2
2026-09-24,58,75,31,12,9,13,2,3,2
2026-06-26,39,26,35,23,2,6,0,3,1
2026-08-14,14,44,43,3,19,6,2,3,1
2026-01-19,95,66,42,22,7,4,1,1,2
2026-05-10,67,33,32,25,5,11,3,2,1
2026-03-29,100,69,37,25,3,2,3,0,0
2025-03-26,75,45,30,20,11,11,3,1,1
2026-02-21,82,67,13,19,18,3,2,1,0
2025-03-16,85,12,22,28,11,9,2,1,2
2025-04-16,90,58,40,20,7,9,2,3,0
2025-05-10,75,66,17,17,13,11,3,0,2
2025-02-07,25,10,39,17,18,3,2,2,2
2025-02-22,67,13,48,20,14,4,3,0,2
2026-08-25,31,83,36,25,1,1,5,2,1
2025-10-25,23,56,22,26,16,2,5,3,0
2026-07-16,86,21,16,22,5,15,5,0,0
2025-01-31,79,32,9,14,17,9,1,3,1
2026-05-19,66,79,9,30,20,3,5,1,0
2026-08-08,77,72,46,29,15,14,3,1,0
2025-12-19,75,65,40,18,2,3,4,1,2
2025-03-04,75,57,38,12,5,3,0,1,1
2025-09-18,60,66,45,6,16,11,3,3,1
2025-04-17,49,52,24,3,16,5,4,3,2
2025-12-09,39,50,31,23,13,9,3,2,2
2025-12-14,43,95,43,22,8,12,4,0,2
2026-08-15,72,11,43,21,9,8,1,1,0
2025-08-16,66,53,24,16,5,5,4,2,1
2026-02-08,44,32,7,17,15,14,4,1,2
2025-09-14,75,22,37,27,19,3,3,3,0
2025-06-28,10,53,29,12,12,3,4,0,1
2025-10-14,25,27,17,9,18,1,4,2,0
2025-05-12,31,80,30,8,6,5,5,3,0
2026-03-23,23,10,44,5,12,7,2,1,0
2025-12-24,86,15,11,14,14,11,5,2,2
2025-04-06,60,63,7,5,4,10,0,3,0
2025-10-06,65,16,41,27,3,1,3,0,2
2026-03-08,57,17,47,7,19,2,1,3,2
2026-07-09,13,14,29,17,20,5,4,3,1
2026-05-24,66,57,39,30,17,13,5,1,0
2025-03-15,37,73,46,3,8,4,1,2,2
2025-11-28,31,46,21,20,4,6,4,0,2
2026-01-08,54,35,37,28,10,5,1,3,1
2025-06-05,20,52,35,20,2,14,3,0,2
2025-01-26,24,38,9,19,16,15,2,2,2
2026-06-20,89,65,28,13,2,1,2,1,0
2026-04-23,98,59,5,3,19,15,4,3,2
2025-09-22,28,42,29,11,16,11,2,3,2
2025-10-17,22,37,38,20,20,13,1,3,2
