id,name,generation,subject,html_content,active,updated_at
tpl_invoice,Chandler Electric Invoice,dynamic,Invoice {{invoice_id}} from Chandler Electric LLC,"<p>Hi {{first_name}},</p><p>Please find invoice {{invoice_id}} attached.</p><p>Total: ${{amount}}</p><p>Pay online: {{pay_link}}</p><p>Thanks,<br>Jae</p>",True,2026-01-15T09:00:00-05:00
tpl_estimate,Chandler Electric Estimate,dynamic,Estimate from Chandler Electric LLC,"<p>Hi {{first_name}},</p><p>Estimate attached for {{job_summary}}.</p><p>Valid 30 days.</p>",True,2026-01-15T09:00:00-05:00
tpl_receipt,Payment Receipt,dynamic,Payment received - Chandler Electric LLC,"<p>Hi {{first_name}}, we received your payment of ${{amount}}. Thank you.</p>",True,2026-01-15T09:00:00-05:00
tpl_74gjd4h6,Template c3g7,dynamic,Subject 1va7,<html>tm8eab3t4c9c19isx75v</html>,1,2026-01-30T09:29:00
tpl_f2v7ca4p,Template d71n,dynamic,Subject nixu,<html>upka0ojzvf33ncpwem0p</html>,1,2026-02-12T00:47:00
tpl_wn265jog,Template h3zd,dynamic,Subject ct0k,<html>n3jrs3wgw1cbs3fn0466</html>,1,2026-07-08T16:27:00
tpl_dowevtor,Template 59n0,dynamic,Subject 8ogr,<html>vbq4xe244tpo505n0iye</html>,1,2026-08-04T10:21:00
tpl_utsbnlqs,Template 9ut7,dynamic,Subject xcu9,<html>r5dez65wvc7ctiax23w0</html>,1,2026-02-06T01:13:00
tpl_g9j84eu2,Template h1od,dynamic,Subject zvnv,<html>ni7viix4in87t2sydq4a</html>,1,2025-04-12T01:51:00
tpl_w3945ima,Template 8qlw,dynamic,Subject ojyl,<html>lvuwj5t0nvfqjq6i5n66</html>,1,2025-04-07T07:24:00
tpl_2jxpfg90,Template sszt,dynamic,Subject xr79,<html>9ferfmfwoplogwzrdj9w</html>,1,2025-02-20T17:56:00
tpl_iwdzrq22,Template q2ev,dynamic,Subject cnj4,<html>j90b5av6vyoe02hmzak8</html>,1,2025-08-17T22:16:00
tpl_o471f4tu,Template r1nh,dynamic,Subject b65j,<html>bf7lzlt202n02h815gkq</html>,1,2025-02-19T17:21:00
tpl_bjugcpy7,Template gf9t,dynamic,Subject 8lu4,<html>5d7c2m9fx3tpj2xacur7</html>,1,2025-11-17T01:05:00
tpl_4fcu3udh,Template yaqa,dynamic,Subject pzom,<html>0v2hialtltrn4w46ne9i</html>,1,2025-03-07T08:36:00
tpl_ltyzg0lr,Template ywq5,dynamic,Subject 2t7p,<html>9y3oxcjp5l2877mik568</html>,1,2025-03-24T01:09:00
tpl_2ts94yig,Template 9w5z,dynamic,Subject yp0v,<html>mx311lszqgld003n0v9k</html>,1,2026-09-04T12:00:00
tpl_pycaecaq,Template ecut,dynamic,Subject 7516,<html>in1s0d230rjmi2czyo2d</html>,1,2026-03-03T10:49:00
tpl_d03fqjwo,Template 1mjn,dynamic,Subject dffe,<html>nsfv9uwt6cv24yk2i1co</html>,1,2025-02-03T22:57:00
tpl_513qib6x,Template wj9e,dynamic,Subject q1oo,<html>w8gflk6yekk1ycpbs9ys</html>,1,2025-04-04T23:42:00
tpl_rydedlv0,Template x7i1,dynamic,Subject 3bzu,<html>vboxbdf21marj62sinw3</html>,1,2026-03-30T21:39:00
tpl_8ud4y8mm,Template dgqy,dynamic,Subject ey6j,<html>7x4h1mcb2vhz5wzzgqgb</html>,1,2026-07-23T13:21:00
tpl_w6k33646,Template 5upb,dynamic,Subject rcur,<html>1dsut2qs87y7agoldf9g</html>,1,2025-09-15T19:15:00
tpl_qiqmyxfr,Template 1xzx,dynamic,Subject fhic,<html>35xta4nkj6drvwseufhx</html>,1,2025-01-26T02:29:00
tpl_ao9tcd6a,Template bklv,dynamic,Subject h3qo,<html>921lpf9r56v6tqm328df</html>,1,2025-01-17T12:00:00
tpl_udb63tkd,Template naze,dynamic,Subject n05l,<html>n08fs0nkpni7xdth30ic</html>,1,2025-02-25T03:23:00
tpl_jmj3qux6,Template 8c64,dynamic,Subject 3b2m,<html>mtbz68qdpsydbij97m10</html>,1,2025-02-18T14:42:00
tpl_nur780uv,Template g39u,dynamic,Subject yeqv,<html>wntpobunk1v6as1gc88q</html>,1,2026-05-09T03:57:00
tpl_t1eqn5p7,Template qm1e,dynamic,Subject fzy8,<html>gzmu3tyj38auiiu7de55</html>,1,2025-01-28T16:39:00
tpl_itcavwj3,Template wpfh,dynamic,Subject m55f,<html>7005zch0mtswtb6xi8gc</html>,1,2026-03-17T21:25:00
tpl_vwm8rcqe,Template whm7,dynamic,Subject l14i,<html>n415bl3km5tdp3w4istv</html>,1,2025-05-21T17:40:00
tpl_5x12og72,Template pwnl,dynamic,Subject i8nu,<html>5h6ik3obgcsli7fegdpt</html>,1,2025-05-12T00:02:00
tpl_3et9qc03,Template hvx8,dynamic,Subject gzyz,<html>xv7ysc3zoly3gkqko2mq</html>,1,2025-05-16T09:08:00
tpl_e0j6idg4,Template az45,dynamic,Subject foj7,<html>f7jhce0xuma9dbbfxmz5</html>,1,2026-03-18T22:03:00
tpl_q4c2eipe,Template zu80,dynamic,Subject mdd9,<html>mrz6xpfkn55yqfmr9xy2</html>,1,2026-02-05T21:55:00
tpl_rmkxd9ai,Template uxl5,dynamic,Subject 9rjw,<html>973fekis4mt0fnbohufr</html>,1,2025-12-20T14:32:00
tpl_yjydxfly,Template swsk,dynamic,Subject 5s8c,<html>rnp7ns9u62s2iak3f4dq</html>,1,2026-04-12T01:14:00
tpl_fwnpq80c,Template m603,dynamic,Subject 2kbv,<html>1ahl8v5dmajiyl56ccku</html>,1,2025-06-12T08:08:00
tpl_bizcjetf,Template q5wi,dynamic,Subject dats,<html>d6yxy5htnc0q3tuzg593</html>,1,2025-02-25T06:21:00
tpl_jvrgqtj3,Template spp5,dynamic,Subject eikt,<html>92fchv3murpcfwlpy27l</html>,1,2025-01-17T15:33:00
tpl_aqi883rw,Template 6xsg,dynamic,Subject tita,<html>jl7a8xvloxqeltq5exjg</html>,1,2025-02-04T14:02:00
tpl_itu8565y,Template j6y1,dynamic,Subject z54n,<html>hp8vr7l9lucq2kdtvzk7</html>,1,2025-01-04T07:50:00
tpl_4d8i53go,Template gevq,dynamic,Subject crxr,<html>7iq5awq02e9fj6n3ez6p</html>,1,2026-06-17T09:42:00
tpl_b4yohwl6,Template affq,dynamic,Subject faqi,<html>wfwr4mcpf15d7csh9ct6</html>,1,2025-07-24T18:47:00
tpl_2u19iu0k,Template 2kw3,dynamic,Subject 4loi,<html>vwlofgplzkkbneolflng</html>,1,2025-11-22T13:14:00
tpl_ey7dgzbm,Template etvx,dynamic,Subject jr0e,<html>odmxvlvytlfgk28jlcwu</html>,1,2026-04-13T17:56:00
tpl_ta1w8ydh,Template a6ol,dynamic,Subject g0a4,<html>d3ew0e8hrh3mulhs8gv6</html>,1,2026-01-05T10:28:00
tpl_p7wf4g1a,Template 6wnj,dynamic,Subject u7s7,<html>bp81nswgvkn9y2ba3su1</html>,1,2026-05-07T12:24:00
tpl_b359pfh3,Template hs9t,dynamic,Subject 7tpq,<html>9bvs0875dqhi60ndvjnf</html>,1,2025-08-29T11:21:00
tpl_4k4i4toj,Template 0791,dynamic,Subject 126f,<html>lr873crurarc6xeo24m0</html>,1,2025-11-14T08:59:00
tpl_10agu88i,Template fuj5,dynamic,Subject 030z,<html>t8b8hsxmw3ticitcceqg</html>,1,2025-06-13T10:08:00
tpl_p0qvkxlj,Template 0zs2,dynamic,Subject 3dm4,<html>cfefkcchk3aef5rk89x5</html>,1,2026-03-24T19:43:00
tpl_5ppc6iql,Template l0pm,dynamic,Subject 93iy,<html>dsnmdhvuktiaprzya90h</html>,1,2026-08-14T08:15:00
tpl_2ola2bpm,Template bhis,dynamic,Subject z8m7,<html>b9kgsyezco2y0kv7fhqm</html>,1,2025-03-11T03:17:00
tpl_3y3haqw6,Template 1wpk,dynamic,Subject 4r4d,<html>1ljy11lffft35zcdwncl</html>,1,2025-02-09T10:40:00
tpl_2ljc14uz,Template 53b4,dynamic,Subject o1xf,<html>8a7y1axu2qs8lkgr1mqg</html>,1,2026-08-08T13:42:00
tpl_aq6jrfk0,Template y5i9,dynamic,Subject umwr,<html>dgg50w6r2ylj4y2yr4jw</html>,1,2025-08-05T13:55:00
tpl_5tkk41aj,Template cu96,dynamic,Subject op0l,<html>kry8kkzgus5qxsow1t67</html>,1,2026-04-23T23:50:00
tpl_4gsnt2f0,Template 3frv,dynamic,Subject vqdm,<html>e09c1fv2punmkk1esnvx</html>,1,2026-03-08T07:07:00
tpl_m2y8iy7m,Template b3i6,dynamic,Subject te25,<html>47kwv0fy186mfw0l3ryw</html>,1,2025-02-28T13:25:00
tpl_5mq5371o,Template snnb,dynamic,Subject who7,<html>bwvu2q62a3pe9fh6qmdc</html>,1,2026-08-05T23:03:00
tpl_j11c99x0,Template a4rz,dynamic,Subject b2t6,<html>u1ap8xw8hm6wtn4zzqz7</html>,1,2026-01-01T06:40:00
tpl_742jf9bs,Template cs5e,dynamic,Subject ewhc,<html>doik2xawt026q67v2vdc</html>,1,2025-02-20T18:39:00
tpl_ajfpjo8b,Template yusi,dynamic,Subject 7rf2,<html>dinqdoetx665lwynwa89</html>,1,2026-05-16T04:20:00
tpl_sd3po2b1,Template yqe8,dynamic,Subject 0jzh,<html>wj5qxjbcsjqnkyifc745</html>,1,2026-07-12T13:22:00
tpl_qi6tvc6o,Template zymg,dynamic,Subject odu0,<html>d8e49gfbg9guh276tpew</html>,1,2026-02-27T15:33:00
tpl_24yyzyfx,Template w3dd,dynamic,Subject thha,<html>dcziikhajkwir0zycr6l</html>,1,2026-08-11T14:57:00
tpl_dc0xut35,Template urle,dynamic,Subject gmty,<html>mqm303msxlyapbn9o7z8</html>,1,2025-04-17T21:50:00
tpl_s6m8xzps,Template 4teg,dynamic,Subject pnn2,<html>k7xiyjubx0rkcwjkzxfg</html>,1,2025-07-19T13:39:00
tpl_sc3udcqa,Template lqhm,dynamic,Subject ioh8,<html>dmilr9gj7s41qaj42cz3</html>,1,2025-11-11T10:53:00
tpl_5diyf68q,Template ee6y,dynamic,Subject isbk,<html>dghdbmivtyjcs1pcfj1v</html>,1,2025-05-20T13:46:00
tpl_httu46wp,Template 1lnp,dynamic,Subject go8f,<html>9monivjq856b0fkprdg7</html>,1,2026-07-18T07:59:00
tpl_43jvk34d,Template avre,dynamic,Subject 50k1,<html>v13zkx7xrl771eqwusdv</html>,1,2025-12-13T12:04:00
tpl_yfuwpzc6,Template 7acq,dynamic,Subject y9hj,<html>yxmuj1ay0c50d475c39f</html>,1,2026-07-22T20:47:00
tpl_9n8l33r7,Template 92g2,dynamic,Subject 0692,<html>6l6vjvp1jnhqt9dg1uga</html>,1,2025-02-18T02:40:00
tpl_2kwa5js8,Template nuze,dynamic,Subject e3vy,<html>7hqmylvoacn4ervk0cm4</html>,1,2025-10-19T03:02:00
tpl_nmise7jl,Template cgxd,dynamic,Subject lls5,<html>1es2mpnd6zfaol0v8nyw</html>,1,2025-03-29T21:05:00
tpl_z9gvt5lv,Template gawo,dynamic,Subject 677x,<html>8hcdumdwmd4r4564vbi3</html>,1,2026-02-16T10:01:00
tpl_du1e7wof,Template kdo0,dynamic,Subject mcbz,<html>60fejqrkn9v3t300vcf0</html>,1,2025-11-15T19:36:00
tpl_m3876fqi,Template iz5q,dynamic,Subject hofy,<html>ruu16xeuztdpsesuhkrt</html>,1,2025-03-21T05:22:00
tpl_lnx2p6l6,Template 7g4f,dynamic,Subject en1u,<html>gl573udz9i7kxww22kr7</html>,1,2026-02-23T12:35:00
tpl_1awd9pe3,Template ltm3,dynamic,Subject 8wma,<html>srxk5ahhp47g3rxyxtba</html>,1,2025-12-05T04:55:00
tpl_8xwhyj2d,Template um9j,dynamic,Subject cqkr,<html>w51ngsklf5ih3t7wawj5</html>,1,2025-06-30T04:50:00
tpl_ui30ylot,Template jj4a,dynamic,Subject 5man,<html>xyvgzde6ndz6kygoz72k</html>,1,2026-04-22T02:23:00
tpl_s2gsjxpt,Template ntgq,dynamic,Subject nm4i,<html>bk33l2rq213j8dk98mwf</html>,1,2026-09-10T16:54:00
tpl_aft134iy,Template 3r6y,dynamic,Subject a7zs,<html>1xpqmnzr5j1pyhphmwf6</html>,1,2026-06-05T03:34:00
