date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2024-01-01,30,30,15,15,5,5,0,1,1
2024-01-02,31,30,16,15,5,4,1,0,0
2024-01-03,32,30,17,15,5,5,2,0,0
2024-01-04,33,30,18,18,6,5,3,0,0
2024-01-05,34,34,21,20,6,6,0,0,0
2024-01-06,35,34,22,20,6,5,1,0,0
2024-01-07,36,34,23,23,7,7,2,0,0
2024-01-08,37,34,17,16,5,4,3,0,0
2024-01-09,38,38,20,18,6,6,0,0,0
2024-01-10,39,38,21,21,7,6,1,0,0
2024-01-11,40,38,22,21,7,7,2,0,0
2024-01-12,41,38,23,21,7,6,3,0,0
2024-01-13,42,42,26,26,8,8,0,0,0
2024-01-14,43,42,27,26,8,7,1,0,0
2024-01-15,44,42,21,19,6,6,2,0,0
2024-01-16,45,42,22,22,7,6,3,0,0
2024-01-17,46,46,25,24,8,8,0,0,0
2024-01-18,47,46,26,24,8,7,1,0,0
2024-01-19,48,46,27,27,9,9,2,0,0
2024-01-20,49,46,28,27,9,8,3,0,0
2024-01-21,50,50,31,29,9,9,0,0,1
2024-01-22,51,50,25,25,8,7,1,0,0
2024-01-23,52,50,26,25,8,8,2,0,0
2024-01-24,53,50,27,25,8,7,3,0,0
2024-01-25,54,54,30,30,10,10,0,0,0
2024-01-26,55,54,31,30,10,9,1,0,0
2024-01-27,56,54,32,30,10,10,2,0,0
2024-01-28,57,54,33,33,11,10,3,0,0
2024-01-29,58,58,29,28,9,9,0,0,0
2024-01-30,59,58,30,28,9,8,1,0,0
2024-01-31,60,58,31,31,10,10,2,1,0
2024-02-01,61,58,32,31,10,9,3,0,0
2024-02-02,62,62,35,33,11,11,0,0,0
2024-02-03,63,62,36,36,12,11,1,0,0
2024-02-04,64,62,37,36,12,12,2,0,0
2024-02-05,65,62,31,29,9,8,3,0,0
2024-02-06,66,66,34,34,11,11,0,0,0
2024-02-07,67,66,35,34,11,10,1,0,0
2024-02-08,68,66,36,34,11,11,2,0,0
2024-02-09,69,66,37,37,12,11,3,0,0
2024-02-10,70,70,40,39,13,13,0,0,1
2024-02-11,71,70,41,39,13,12,1,0,0
2024-02-12,72,70,35,35,11,11,2,0,0
2024-02-13,73,70,36,35,11,10,3,0,0
2024-02-14,74,74,39,37,12,12,0,0,0
2024-02-15,75,74,40,40,13,12,1,0,0
2024-02-16,76,74,41,40,13,13,2,0,0
2024-02-17,77,74,42,40,13,12,3,0,0
2024-02-18,78,78,45,45,15,15,0,0,0
2024-02-19,79,78,39,38,12,11,1,0,0
2024-02-20,30,28,15,13,4,4,2,0,0
2024-02-21,31,28,16,16,5,4,3,0,0
2024-02-22,32,32,19,18,6,6,0,0,0
2024-02-23,33,32,20,18,6,5,1,0,0
2024-02-24,34,32,21,21,7,7,2,0,0
2024-02-25,35,32,22,21,7,6,3,0,0
2024-02-26,36,36,18,16,5,5,0,0,0
2024-02-27,37,36,19,19,6,5,1,0,0
2024-02-28,38,36,20,19,6,6,2,0,0
2024-02-29,39,36,21,19,6,5,3,0,0
2024-03-01,40,40,24,24,8,8,0,1,1
2024-03-02,41,40,25,24,8,7,1,0,0
2024-03-03,42,40,26,24,8,8,2,0,0
2024-03-04,43,40,20,20,6,5,3,0,0
2024-03-05,44,44,23,22,7,7,0,0,0
2024-03-06,45,44,24,22,7,6,1,0,0
2024-03-07,46,44,25,25,8,8,2,0,0
2024-03-08,47,44,26,25,8,7,3,0,0
2024-03-09,48,48,29,27,9,9,0,0,0
2024-03-10,49,48,30,30,10,9,1,0,0
2024-03-11,50,48,24,23,7,7,2,0,0
2024-03-12,51,48,25,23,7,6,3,0,0
2024-03-13,52,52,28,28,9,9,0,0,0
2024-03-14,53,52,29,28,9,8,1,0,0
2024-03-15,54,52,30,28,9,9,2,0,0
2024-03-16,55,52,31,31,10,9,3,0,0
2024-03-17,56,56,34,33,11,11,0,0,0
2024-03-18,57,56,28,26,8,7,1,0,0
2024-03-19,58,56,29,29,9,9,2,0,0
2024-03-20,59,56,30,29,9,8,3,0,0
2024-03-21,60,60,33,31,10,10,0,0,1
2024-03-22,61,60,34,34,11,10,1,0,0
2024-03-23,62,60,35,34,11,11,2,0,0
2024-03-24,63,60,36,34,11,10,3,0,0
2024-03-25,64,64,32,32,10,10,0,0,0
2024-03-26,65,64,33,32,10,9,1,0,0
2024-03-27,66,64,34,32,10,10,2,0,0
2024-03-28,67,64,35,35,11,10,3,0,0
2024-03-29,68,68,38,37,12,12,0,0,0
2024-03-30,69,68,39,37,12,11,1,0,0
2024-03-31,70,68,40,40,13,13,2,1,0
2024-04-01,71,68,34,33,11,10,3,0,0
2024-04-02,72,72,37,35,11,11,0,0,0
2024-04-03,73,72,38,38,12,11,1,0,0
2024-04-04,74,72,39,38,12,12,2,0,0
2024-04-05,75,72,40,38,12,11,3,0,0
2024-04-06,76,76,43,43,14,14,0,0,0
2024-04-07,77,76,44,43,14,13,1,0,0
2024-04-08,78,76,38,36,12,12,2,0,0
2024-04-09,79,76,39,39,13,12,3,0,0
2024-04-10,30,30,17,16,5,5,0,0,1
2024-04-11,31,30,18,16,5,4,1,0,0
2024-04-12,32,30,19,19,6,6,2,0,0
2024-04-13,33,30,20,19,6,5,3,0,0
2024-04-14,34,34,23,21,7,7,0,0,0
2024-04-15,35,34,17,17,5,4,1,0,0
2024-04-16,36,34,18,17,5,5,2,0,0
2024-04-17,37,34,19,17,5,4,3,0,0
2024-04-18,38,38,22,22,7,7,0,0,0
2024-04-19,39,38,23,22,7,6,1,0,0
2024-04-20,40,38,24,22,7,7,2,0,0
2024-04-21,41,38,25,25,8,7,3,0,0
2024-04-22,42,42,21,20,6,6,0,0,0
2024-04-23,43,42,22,20,6,5,1,0,0
2024-04-24,44,42,23,23,7,7,2,0,0
2024-04-25,45,42,24,23,7,6,3,0,0
2024-04-26,46,46,27,25,8,8,0,0,0
2024-04-27,47,46,28,28,9,8,1,0,0
2024-04-28,48,46,29,28,9,9,2,0,0
2024-04-29,49,46,23,21,7,6,3,0,0
2024-04-30,50,50,26,26,8,8,0,1,1
2024-05-01,51,50,27,26,8,7,1,0,0
2024-05-02,52,50,28,26,8,8,2,0,0
2024-05-03,53,50,29,29,9,8,3,0,0
2024-05-04,54,54,32,31,10,10,0,0,0
2024-05-05,55,54,33,31,10,9,1,0,0
2024-05-06,56,54,27,27,9,9,2,0,0
2024-05-07,57,54,28,27,9,8,3,0,0
2024-05-08,58,58,31,29,9,9,0,0,0
2024-05-09,59,58,32,32,10,9,1,0,0
2024-05-10,60,58,33,32,10,10,2,0,0
2024-05-11,61,58,34,32,10,9,3,0,0
2024-05-12,62,62,37,37,12,12,0,0,0
2024-05-13,63,62,31,30,10,9,1,0,0
2024-05-14,64,62,32,30,10,10,2,0,0
