id,name,is_private,is_archived,topic,purpose,creator,created,num_members
C001GENERA,general,true,true,#general — Windbridge Partners — internal,,,1703442600,10
C002RANDOM,random,true,true,#random — Windbridge Partners — internal,,,1703442600,10
C003WINDBR,windbridge-partners,true,true,#windbridge-partners — Windbridge Partners — internal,,,1703442600,10
C004ANNOUN,announcements,true,true,#announcements — Windbridge Partners — internal,,,1703442600,10
C005OPS,dev-core,false,true,Team updates,Share updates and blockers,U029WILLIA,1652479227,31
C006TEAM,dept-alpha,false,false,Release planning,Coordinate work across the team,U105ADAMS,1681398836,20
C007OPS,help-beta,true,false,Weekly sync notes,Share updates and blockers,U049PHILLI,1602037591,18
C008HELP,social-beta,false,false,Ad hoc discussion,Track deliverables,U033NELSON,1632708101,11
C009DATA,data-labs,false,false,Release planning,Track deliverables,U062HILL,1638604900,51
C010PROJ,proj-review,false,true,Ad hoc discussion,Share updates and blockers,U054LEE,1703280613,8
C011RESEAR,design-core,false,false,Data questions,Coordinate work across the team,U055HILL,1696896209,41
C012DEV,research-review,false,false,Team updates,Coordinate work across the team,U079HALL,1679820803,49
C013TEAM,ops-beta,false,false,Ad hoc discussion,Casual conversation,U095WHITE,1722114218,12
C014DESIGN,dev-planning,false,false,Release planning,Share updates and blockers,U036MARTIN,1661455089,31
C015HELP,dept-hub,false,false,Team updates,Share updates and blockers,U047WHITE,1696182479,39
C016HELP,data-hub,true,true,Weekly sync notes,Track deliverables,U010BRITTA,1732955685,36
C017TEAM,dept-review,false,false,Project coordination,Coordinate work across the team,U071MOORE,1755050372,6
C018RESEAR,research-labs,true,false,Weekly sync notes,Track deliverables,U070CAMPBE,1738182269,56
C019PROJ,team-core,false,true,Team updates,Casual conversation,U090HARRIS,1618877390,31
C020OPS,social-weekly,true,false,Team updates,Casual conversation,U056ADAMS,1741396460,18
C021TEAM,data-weekly,false,true,Data questions,Share updates and blockers,U109PHILLI,1674201287,9
C022DESIGN,ops-weekly,true,false,Release planning,Casual conversation,U041MOORE,1682251730,20
C023DEV,help-core,false,false,Release planning,Casual conversation,U023WRIGHT,1654000442,26
C024RESEAR,dev-review,false,false,Data questions,Coordinate work across the team,U010BRITTA,1754008647,33
C025SOCIAL,proj-standup,true,false,Release planning,Share updates and blockers,U039JACKSO,1624620356,55
C026OPS,design-labs,false,false,Data questions,Share updates and blockers,U029WILLIA,1724702222,34
C027HELP,data-beta,false,false,Team updates,Share updates and blockers,U067WILSON,1664808473,58
C028DESIGN,dev-hub,false,false,Release planning,Coordinate work across the team,U034WRIGHT,1607530321,27
C029DEV,dept-chat,true,false,Data questions,Share updates and blockers,U072RODRIG,1706977450,10
C030TEAM,proj-core,true,false,Release planning,Share updates and blockers,U029WILLIA,1613046940,51
C031HELP,dept-beta,true,true,Release planning,Coordinate work across the team,U087RODRIG,1648846088,46
C032DATA,social-hub,false,true,Team updates,Track deliverables,U059THOMPS,1745304054,46
C033DESIGN,ops-labs,true,false,Data questions,Coordinate work across the team,U104MILLER,1635586177,14
C034DESIGN,proj-alpha,false,false,Release planning,Share updates and blockers,U100GREEN,1683036492,12
C035OPS,ops-alpha,false,false,Team updates,Share updates and blockers,U061ROBERT,1750964805,44
C036DEPT,ops-hub,false,false,Project coordination,Casual conversation,U064WILLIA,1693639372,41
C037OPS,proj-weekly,false,false,Data questions,Coordinate work across the team,U020EVANS,1734784874,20
C038HELP,help-hub,false,true,Weekly sync notes,Share updates and blockers,U075LEWIS,1640296656,13
C039PROJ,dev-alpha,true,false,Weekly sync notes,Share updates and blockers,U094DAVIS,1670005511,28
C040PROJ,social-alpha,true,false,Ad hoc discussion,Casual conversation,U075LEWIS,1630911535,10
C041RESEAR,dept-weekly,true,false,Team updates,Track deliverables,U027NELSON,1636196946,39
C042RESEAR,team-hub,false,false,Weekly sync notes,Track deliverables,U023WRIGHT,1754475274,37
C043OPS,research-hub,false,false,Data questions,Coordinate work across the team,U071MOORE,1703656365,15
C044PROJ,help-weekly,true,false,Team updates,Coordinate work across the team,U097JOHNSO,1742877266,40
