Category	Budgeted	Actual	Difference	Notes
Rent (my half)	625.00	625.00	0.00	Bank transfer to Kaitlyn 02/07
Utilities (my half)	95.00	93.22	1.78	Power + water split
Groceries and dining	300.00	318.40	-18.40	a grocery app + a delivery app
Transit pass + rideshare	85.00	78.00	7.00	Transit reload + 1 rideshare
Phone	65.00	65.00	0.00	ClearLine autopay
Streaming	25.00	23.98	1.02	music + video apps share
Thrift and clothing	60.00	59.50	0.50	thrift, resale, marketplace
Student loans	180.00	180.00	0.00	Unified Loan Servicing 02/15
Journal and art supplies	20.00	14.00	6.00	New leather notebook
Misc	100.00	112.00	-12.00	Birthday gift for Daniel
Savings transfer	200.00	200.00	0.00	Auto to Brightway savings
Total	1755.00	1769.10	-14.10	Over by 14.10, covered by buffer
