date	bedtime	wake	hours_slept	calm_app_min	journaled	note
2026-01-01	23:42	05:51	6.2	18	Y	
2026-01-02	23:58	05:45	5.8	17	Y	
2026-01-03	23:50	05:36	5.8	0	Y	
2026-01-04	23:30	05:40	6.2	0	Y	
2026-01-05	00:18	05:48	5.5	24	Y	court testimony tomorrow, restless
2026-01-06	23:55	05:33	5.6	0	N	
2026-01-07	23:48	05:30	5.7	0	Y	
2026-01-08	23:52	05:42	5.8	22	Y	
2026-01-09	00:21	05:50	5.5	19	Y	after-hours voicemail, hard to settle
2026-01-10	23:38	05:35	5.9	0	Y	
2026-01-11	23:44	05:31	5.8	0	Y	
2026-01-12	00:05	05:44	5.6	10	N	
2026-01-13	23:46	05:40	5.9	0	Y	
2026-01-14	23:33	05:38	6.1	0	Y	good night
2026-01-15	23:51	05:46	5.9	10	Y	
2026-01-16	23:40	05:34	5.9	0	Y	
2026-01-17	23:55	05:39	5.7	0	Y	
2026-01-18	23:36	05:42	6.1	0	N	
2026-01-19	23:34	05:41	6.1	18	Y	biweekly therapy day
2026-01-20	23:49	05:36	5.8	0	Y	
2026-01-21	00:02	05:45	5.7	0	Y	
2026-01-22	00:10	05:38	5.5	19	Y	back ache
2026-01-23	23:47	05:33	5.8	0	Y	
2026-01-24	23:53	05:31	5.6	0	N	
2026-01-25	23:41	05:35	5.9	0	Y	
2026-01-26	23:32	05:43	6.2	17	Y	
2026-01-27	00:14	05:47	5.6	0	Y	removal earlier in week, heavy
2026-01-28	23:50	05:40	5.8	0	Y	
2026-01-29	23:57	05:37	5.7	11	Y	
2026-01-30	00:08	06:20	6.2	0	N	slept in, Saturday
2026-01-31	23:45	05:42	6.0	0	Y	
