Date	Description	Type	Amount	Balance
2025-12-31	Opening balance	Balance	0.00	21540.18
2026-01-02	Patient deposits, batch 26-001	Credit	4820.00	26360.18
2026-01-02	Delta Dental of Michigan EFT	Credit	6135.50	32495.68
2026-01-03	Patterson Dental Supply, order 558120	Debit	-1842.37	30653.31
2026-01-05	Payroll run PR-2601	Debit	-7107.69	23545.62
2026-01-05	IRS EFTPS 941 deposit	Debit	-2180.44	21365.18
2026-01-06	Great Lakes Comm Bank, practice loan 9120	Debit	-1800.00	19565.18
2026-01-07	Patient deposits, batch 26-002	Credit	5210.00	24775.18
2026-01-08	DTE Energy, clinic account	Debit	-512.66	24262.52
2026-01-09	Suite 110 rent, Michigan Ave Properties	Debit	-4200.00	20062.52
2026-01-12	MetLife group EFT	Credit	3940.75	24003.27
2026-01-12	Henry Schein Dental, order 77310	Debit	-968.14	23035.13
2026-01-15	Patient deposits, batch 26-003	Credit	5680.00	28715.13
2026-01-16	The Dental Box, lab fees	Debit	-1455.00	27260.13
2026-01-19	Payroll run PR-2602	Debit	-7107.69	20152.44
2026-01-20	Professional liability, Aspen Insurance	Debit	-420.00	19732.44
2026-01-22	Patient deposits, batch 26-004	Credit	6120.00	25852.44
2026-01-23	Delta Dental of Michigan EFT	Credit	4760.30	30612.74
2026-01-26	Comcast Business internet	Debit	-189.99	30422.75
2026-01-27	AAPD membership renewal	Debit	-450.00	29972.75
2026-01-28	Square card processing fees	Debit	-372.41	29600.34
2026-01-29	Office supplies, Staples	Debit	-146.88	29453.46
2026-01-30	Patient deposits, batch 26-005	Credit	4980.00	34433.46
2026-01-30	Owner draw to Dearborn FCU	Debit	-10000.00	24433.46
2026-01-31	Card processing reserve adjustment	Debit	-433.46	24000.00
2026-01-31	Closing balance	Balance	0.00	24000.00
