Title	Author	Status	Started	Finished	Format	Notes
Tom Lake	Ann Patchett	Reading	2026-01-18		Hardcover	Slow evenings, cherry orchard chapters are the best
Outline	Rachel Cusk	Re-read	2026-01-02	2026-01-14	Paperback	Desert island book, re-read the train conversation aloud
Transit	Rachel Cusk	Finished	2025-11-20	2025-12-08	Paperback	Second in the trilogy, builder chapter stayed with me
Kudos	Rachel Cusk	Finished	2025-12-10	2025-12-29	Paperback	Closed out the trilogy over the holidays
Olive, Again	Elizabeth Strout	Finished	2025-10-05	2025-10-27	Hardcover	Lent to Nicole afterward
The Goldfinch	Donna Tartt	Want to read			Paperback	Jason recommended, saving for a long weekend
Devotions	Mary Oliver	Reading	2025-09-01		Hardcover	Keep it by the reading chair, a few poems at a time
The Light in the Piazza notes	Helen Ashworth	Finished	2025-11-02	2025-11-09	Paperback	Short, reread the color passages for class ideas
Color and Light	James Gurney	Reference	2025-08-15		Hardcover	Studio shelf, dip in before teaching color theory
Sailing Alone Around the Room	Billy Collins	Finished	2025-12-30	2026-01-01	Paperback	New Year quiet morning, coffee and one more poem
