week,date,workout,distance_mi,notes
1,2026-09-01,easy run,4,base building
1,2026-09-03,intervals,5,400m repeats at the track
1,2026-09-06,long run,8,protected on the calendar
2,2026-09-08,easy run,4,
2,2026-09-10,tempo,6,
2,2026-09-13,long run,9,protected on the calendar
3,2026-09-15,easy run,5,
3,2026-09-17,hills,6,watch the old hamstring
3,2026-09-20,long run,10,protected on the calendar
4,2026-09-27,long run,11,taper starts after this
5,2026-10-03,race,6.2,Scioto Mile 10K tune up
6,2026-10-25,race,13.1,Columbus Half Marathon
