courseId,topicId,name,updateTime
gc-ena-cycle-2023-2027,tpc-completed,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027,tpc-in-progress,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027,tpc-not-started,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e001,tpc-completed-e001,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e001,tpc-in-progress-e001,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e001,tpc-not-started-e001,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e002,tpc-completed-e002,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e002,tpc-in-progress-e002,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e002,tpc-not-started-e002,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e003,tpc-completed-e003,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e003,tpc-in-progress-e003,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e003,tpc-not-started-e003,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e004,tpc-completed-e004,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e004,tpc-in-progress-e004,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e004,tpc-not-started-e004,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e005,tpc-completed-e005,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e005,tpc-in-progress-e005,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e005,tpc-not-started-e005,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e006,tpc-completed-e006,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e006,tpc-in-progress-e006,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e006,tpc-not-started-e006,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e007,tpc-completed-e007,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e007,tpc-in-progress-e007,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e007,tpc-not-started-e007,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e008,tpc-completed-e008,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e008,tpc-in-progress-e008,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e008,tpc-not-started-e008,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e009,tpc-completed-e009,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e009,tpc-in-progress-e009,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e009,tpc-not-started-e009,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e010,tpc-completed-e010,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e010,tpc-in-progress-e010,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e010,tpc-not-started-e010,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e011,tpc-completed-e011,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e011,tpc-in-progress-e011,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e011,tpc-not-started-e011,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e012,tpc-completed-e012,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e012,tpc-in-progress-e012,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e012,tpc-not-started-e012,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e013,tpc-completed-e013,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e013,tpc-in-progress-e013,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e013,tpc-not-started-e013,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e014,tpc-completed-e014,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e014,tpc-in-progress-e014,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e014,tpc-not-started-e014,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e015,tpc-completed-e015,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e015,tpc-in-progress-e015,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e015,tpc-not-started-e015,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e016,tpc-completed-e016,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e016,tpc-in-progress-e016,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e016,tpc-not-started-e016,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e017,tpc-completed-e017,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e017,tpc-in-progress-e017,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e017,tpc-not-started-e017,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e018,tpc-completed-e018,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e018,tpc-in-progress-e018,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e018,tpc-not-started-e018,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e019,tpc-completed-e019,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e019,tpc-in-progress-e019,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e019,tpc-not-started-e019,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e020,tpc-completed-e020,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e020,tpc-in-progress-e020,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e020,tpc-not-started-e020,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e021,tpc-completed-e021,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e021,tpc-in-progress-e021,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e021,tpc-not-started-e021,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e022,tpc-completed-e022,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e022,tpc-in-progress-e022,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e022,tpc-not-started-e022,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e023,tpc-completed-e023,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e023,tpc-in-progress-e023,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e023,tpc-not-started-e023,Not Started - Category A,2023-04-12T09:00:00Z
gc-ena-cycle-2023-2027-e024,tpc-completed-e024,Completed - Category A,2026-02-26T00:00:00Z
gc-ena-cycle-2023-2027-e024,tpc-in-progress-e024,In Progress - Category A,2026-09-29T00:00:00Z
gc-ena-cycle-2023-2027-e024,tpc-not-started-e024,Not Started - Category A,2023-04-12T09:00:00Z
