id,name,rating,price,category,category_title,latitude,longitude,city,state,address,phone,review_count,is_closed,image_url
bexley-bikes-co,Bexley Bikes Co,4.3,$$,bicycle_shop,Bicycle Shop,39.969,-82.937,Bexley,OH,107 Main St,614-555-0181,212,false,https://img.example/bexley-bikes-co.jpg
grove-gable,Grove & Gable,4.6,$$,home_goods_store,Home Goods Store,40.093,-83.018,Worthington,OH,114 Main St,614-555-0170,151,false,https://img.example/grove-gable.jpg
dublin-dental-partners,Dublin Dental Partners,4.6,$$,dentist,Dentist,40.099,-83.114,Dublin,OH,121 Main St,614-555-0184,103,false,https://img.example/dublin-dental-partners.jpg
harvest-table-catering,Harvest Table Catering,4.7,$$,caterer,Caterer,40.126,-82.929,Westerville,OH,128 Main St,614-555-0171,88,false,https://img.example/harvest-table-catering.jpg
clintonville-coffee-roasters,Clintonville Coffee Roasters,4.6,$$,coffee_roaster,Coffee Roaster,40.037,-83.016,Columbus,OH,135 Main St,614-555-0172,340,false,https://img.example/clintonville-coffee-roasters.jpg
grandview-auto-care,Grandview Auto Care,4.5,$$,auto_repair,Auto Repair,39.982,-83.041,Grandview Heights,OH,142 Main St,614-555-0173,156,false,https://img.example/grandview-auto-care.jpg
powell-pediatrics,Powell Pediatrics,4.4,$$,pediatrician,Pediatrician,40.157,-83.075,Powell,OH,149 Main St,614-555-0182,64,false,https://img.example/powell-pediatrics.jpg
worthington-wellness-studio,Worthington Wellness Studio,4.8,$$,wellness_center,Wellness Center,40.093,-83.017,Worthington,OH,156 Main St,614-555-0183,121,false,https://img.example/worthington-wellness-studio.jpg
riverside-coworking,Riverside Coworking,4.5,$$,coworking_space,Coworking Space,39.984,-83.028,Columbus,OH,163 Main St,614-555-0197,54,false,https://img.example/riverside-coworking.jpg
dublin-tech-collective,Dublin Tech Collective,4.6,$$,software_company,Software Company,40.099,-83.114,Dublin,OH,170 Main St,614-555-0188,37,false,https://img.example/dublin-tech-collective.jpg
polaris-boutique-fitness,Polaris Boutique Fitness,4.3,$$,fitness_studio,Fitness Studio,40.146,-82.98,Columbus,OH,177 Main St,614-555-0196,68,false,https://img.example/polaris-boutique-fitness.jpg
gahanna-garden-center,Gahanna Garden Center,4.4,$$,garden_center,Garden Center,40.019,-82.876,Gahanna,OH,184 Main St,614-555-0195,92,false,https://img.example/gahanna-garden-center.jpg
new-albany-pet-clinic,New Albany Pet Clinic,4.7,$$,veterinarian,Veterinarian,40.081,-82.808,New Albany,OH,191 Main St,614-555-0175,176,false,https://img.example/new-albany-pet-clinic.jpg
meridian-home-staging,Meridian Home Staging,4.5,$$,home_staging,Home Staging,39.961,-83.001,Columbus,OH,198 Main St,614-555-0185,29,false,https://img.example/meridian-home-staging.jpg
short-north-framing,Short North Framing,4.4,$$,framing_store,Framing Store,39.977,-83.001,Columbus,OH,205 Main St,614-555-0174,41,false,https://img.example/short-north-framing.jpg
