id,name,vanityName,industry,website,location,staffCountRange,followerCount,description
org001,Bexley Bikes Co,bexley-bikes-co,Retail - Cycling,bexleybikes.com,"Bexley, OH",4-19,87,"Bicycle Shop in Bexley, OH."
org002,Grove & Gable,grove-gable,Retail - Home Goods,groveandgable.com,"Worthington, OH",9-24,94,"Home Goods Store in Worthington, OH."
org003,Dublin Dental Partners,dublin-dental-partners,Healthcare - Dental,dublindentalpartners.com,"Dublin, OH",13-28,101,"Dentist in Dublin, OH."
org004,Harvest Table Catering,harvest-table-catering,Food Service,harvesttablecatering.com,"Westerville, OH",6-21,108,"Caterer in Westerville, OH."
org005,Clintonville Coffee Roasters,clintonville-coffee-roasters,Food & Beverage,clintonvilleroasters.com,"Columbus, OH",2-17,115,"Coffee Roaster in Columbus, OH."
org006,Grandview Auto Care,grandview-auto-care,Automotive,grandviewauto.com,"Grandview Heights, OH",7-22,122,"Auto Repair in Grandview Heights, OH."
org007,Powell Pediatrics,powell-pediatrics,Healthcare - Pediatric,powellpeds.com,"Powell, OH",11-26,129,"Pediatrician in Powell, OH."
org008,Worthington Wellness Studio,worthington-wellness-studio,Fitness,worthingtonwellness.com,"Worthington, OH",3-18,136,"Wellness Center in Worthington, OH."
org009,Riverside Coworking,riverside-coworking,Real Estate,riversidecowork.com,"Columbus, OH",6-21,143,"Coworking Space in Columbus, OH."
org010,Dublin Tech Collective,dublin-tech-collective,SaaS,dublintech.co,"Dublin, OH",17-32,150,"Software Company in Dublin, OH."
org011,Polaris Boutique Fitness,polaris-boutique-fitness,Fitness,polarisfit.com,"Columbus, OH",5-20,157,"Fitness Studio in Columbus, OH."
org012,Gahanna Garden Center,gahanna-garden-center,Retail - Garden,gahannagarden.com,"Gahanna, OH",10-25,164,"Garden Center in Gahanna, OH."
org013,New Albany Pet Clinic,new-albany-pet-clinic,Healthcare - Vet,newalbanypet.com,"New Albany, OH",9-24,171,"Veterinarian in New Albany, OH."
org014,Meridian Home Staging,meridian-home-staging,Real Estate Services,meridianstaging.com,"Columbus, OH",3-18,178,"Home Staging in Columbus, OH."
org015,Short North Framing,short-north-framing,Retail - Art,shortnorthframing.com,"Columbus, OH",2-15,185,"Framing Store in Columbus, OH."
