query,formatted_address,lat,lng,place_id,location_type
cambridge,"Cambridge, MA, United States",42.373611,-71.109733,ChIJgeo-90944204,APPROXIMATE
riverside cafe,"1136 Massachusetts Ave, Cambridge, MA 02139",42.370818,-71.116361,ChIJ000e9a3288,ROOFTOP
public library branch,"269 Broadway, Cambridge, MA 02139",42.360724,-71.107514,ChIJ000ab5962c,ROOFTOP
north end pharmacy,"1072 Cambridge St, Cambridge, MA 02139",42.376862,-71.098952,ChIJ000ca43e51,ROOFTOP
cambridge yoga studio,"155 Concord Ave, Cambridge, MA 02139",42.382265,-71.143283,ChIJ000e8e0690,ROOFTOP
beacon hardware,"1439 Massachusetts Ave, Cambridge, MA 02139",42.391628,-71.125363,ChIJ0000c50800,ROOFTOP
old town bookshop,"388 Huron Ave, Cambridge, MA 02138",42.378909,-71.139009,ChIJ000d807e8e,ROOFTOP
alewife bakery,"370 Concord Ave, Cambridge, MA 02142",42.383695,-71.137692,ChIJ013b4bb6f1,GEOMETRIC_CENTER
brattle dental care,"457 Broadway, Cambridge, MA 02139",42.400118,-71.114601,ChIJ01b085a58b,ROOFTOP
central fitness center,"1490 Massachusetts Ave, Cambridge, MA 02141",42.384201,-71.121627,ChIJ01fa0c9255,RANGE_INTERPOLATED
davis bookshop,"706 Prospect St, Cambridge, MA 02139",42.380794,-71.103108,ChIJ011b84636e,ROOFTOP
cedar market,"869 Mount Auburn St, Cambridge, MA 02138",42.354221,-71.084730,ChIJ01d85931d8,GEOMETRIC_CENTER
kendall family medicine,"1080 Hampshire St, Cambridge, MA 02138",42.356004,-71.085755,ChIJ01aed414ec,RANGE_INTERPOLATED
central bookshop,"71 Brattle St, Cambridge, MA 02141",42.378688,-71.115455,ChIJ01ea91ee60,APPROXIMATE
riverside market,"282 Broadway, Cambridge, MA 02141",42.355034,-71.135446,ChIJ017bef2cd9,GEOMETRIC_CENTER
cedar pharmacy,"66 Huron Ave, Cambridge, MA 02141",42.408101,-71.084840,ChIJ01b8c2800b,RANGE_INTERPOLATED
windsor pharmacy,"161 Prospect St, Cambridge, MA 02141",42.377101,-71.107571,ChIJ01179de731,APPROXIMATE
riverside fitness center,"531 Brattle St, Cambridge, MA 02139",42.381540,-71.131685,ChIJ010b7cfe96,GEOMETRIC_CENTER
harvard fitness center,"583 Huron Ave, Cambridge, MA 02141",42.404894,-71.088531,ChIJ011cf03103,RANGE_INTERPOLATED
elm pharmacy,"732 Brattle St, Cambridge, MA 02141",42.360854,-71.134322,ChIJ01431f4a92,APPROXIMATE
central bakery,"1218 Cambridge Pkwy, Cambridge, MA 02142",42.388457,-71.134033,ChIJ01293c68fe,GEOMETRIC_CENTER
kendall fitness center,"406 Brattle St, Cambridge, MA 02138",42.402759,-71.138623,ChIJ01f613af87,ROOFTOP
windsor coffee roasters,"61 Cambridge Pkwy, Cambridge, MA 02139",42.364778,-71.115279,ChIJ01035f76ac,RANGE_INTERPOLATED
central kitchen,"124 Cambridge St, Cambridge, MA 02139",42.383873,-71.091465,ChIJ0142c9c672,ROOFTOP
hampshire bookshop,"933 Huron Ave, Cambridge, MA 02142",42.407152,-71.115817,ChIJ01f135ce98,GEOMETRIC_CENTER
huron hardware,"802 Prospect St, Cambridge, MA 02140",42.368063,-71.088478,ChIJ0144cd7a9a,APPROXIMATE
harvard family medicine,"1102 Mount Auburn St, Cambridge, MA 02138",42.368862,-71.118689,ChIJ013e102305,GEOMETRIC_CENTER
inman dental care,"766 Huron Ave, Cambridge, MA 02142",42.381302,-71.105705,ChIJ017b5221f4,RANGE_INTERPOLATED
cedar bookshop,"1026 Massachusetts Ave, Cambridge, MA 02142",42.392092,-71.102499,ChIJ01f94c64b0,ROOFTOP
broadway kitchen,"310 Mount Auburn St, Cambridge, MA 02138",42.362895,-71.089086,ChIJ01a532c231,APPROXIMATE
windsor bookshop,"932 Prospect St, Cambridge, MA 02139",42.368104,-71.098819,ChIJ01837dac33,APPROXIMATE
inman hardware,"1158 Mount Auburn St, Cambridge, MA 02141",42.377329,-71.119853,ChIJ015b0ba9dd,RANGE_INTERPOLATED
kendall dental care,"926 Prospect St, Cambridge, MA 02138",42.371410,-71.087873,ChIJ0119aaa63d,ROOFTOP
riverside bakery,"792 Cambridge St, Cambridge, MA 02140",42.363986,-71.128400,ChIJ01533f590f,RANGE_INTERPOLATED
maple yoga studio,"675 Cambridge Pkwy, Cambridge, MA 02141",42.382247,-71.088801,ChIJ01e1941daf,RANGE_INTERPOLATED
harvard bookshop,"1045 Huron Ave, Cambridge, MA 02139",42.390008,-71.084634,ChIJ01f937e588,GEOMETRIC_CENTER
maple bistro,"76 Cambridge Pkwy, Cambridge, MA 02141",42.405626,-71.108829,ChIJ017492ef18,GEOMETRIC_CENTER
inman fitness center,"348 Massachusetts Ave, Cambridge, MA 02139",42.383889,-71.138812,ChIJ01f76561f8,GEOMETRIC_CENTER
porter library branch,"771 Brattle St, Cambridge, MA 02141",42.406820,-71.097488,ChIJ013122c800,GEOMETRIC_CENTER
prospect family medicine,"962 Mount Auburn St, Cambridge, MA 02139",42.382097,-71.129343,ChIJ0113185925,RANGE_INTERPOLATED
riverside bookshop,"1308 Broadway, Cambridge, MA 02140",42.407357,-71.083817,ChIJ015cfe3636,RANGE_INTERPOLATED
broadway art gallery,"1070 Broadway, Cambridge, MA 02139",42.390238,-71.123633,ChIJ0188658659,APPROXIMATE
windsor dental care,"1242 Cambridge Pkwy, Cambridge, MA 02139",42.395429,-71.082363,ChIJ01cf4149fa,ROOFTOP
elm coffee roasters,"1499 Mount Auburn St, Cambridge, MA 02140",42.359576,-71.081282,ChIJ01544b2a6e,RANGE_INTERPOLATED
brattle cafe,"604 Prospect St, Cambridge, MA 02140",42.377219,-71.126739,ChIJ01ace419fe,GEOMETRIC_CENTER
hampshire kitchen,"1348 Concord Ave, Cambridge, MA 02140",42.395941,-71.112742,ChIJ01ad6ae0c1,GEOMETRIC_CENTER
huron library branch,"1444 Brattle St, Cambridge, MA 02141",42.351743,-71.107192,ChIJ013d408edc,RANGE_INTERPOLATED
brattle bakery,"684 Concord Ave, Cambridge, MA 02140",42.382888,-71.139832,ChIJ0198bc0c4a,ROOFTOP
hampshire library branch,"1231 Mount Auburn St, Cambridge, MA 02138",42.370605,-71.083947,ChIJ01bc982bec,APPROXIMATE
cedar dental care,"559 Mount Auburn St, Cambridge, MA 02142",42.397229,-71.099402,ChIJ0140e3879a,ROOFTOP
hampshire bakery,"170 Mount Auburn St, Cambridge, MA 02139",42.350585,-71.124835,ChIJ01b8f0deaf,APPROXIMATE
brattle yoga studio,"1120 Hampshire St, Cambridge, MA 02141",42.408840,-71.094082,ChIJ01f3c40732,APPROXIMATE
concord library branch,"204 Prospect St, Cambridge, MA 02142",42.397023,-71.133569,ChIJ0199a40cd6,RANGE_INTERPOLATED
alewife pharmacy,"272 Cambridge Pkwy, Cambridge, MA 02142",42.401508,-71.120222,ChIJ01c61a6b33,RANGE_INTERPOLATED
hampshire coffee roasters,"594 Cambridge St, Cambridge, MA 02140",42.371348,-71.080404,ChIJ0195230bc3,RANGE_INTERPOLATED
broadway hardware,"194 Massachusetts Ave, Cambridge, MA 02138",42.361000,-71.134418,ChIJ01a653b1ae,RANGE_INTERPOLATED
kendall library branch,"710 Broadway, Cambridge, MA 02142",42.384246,-71.115843,ChIJ019aba41ae,RANGE_INTERPOLATED
