place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
ChIJ000e9a3288,Riverside Cafe,"1136 Massachusetts Ave, Cambridge, MA 02139",42.370818,-71.116361,4.3,777,cafe|point_of_interest|establishment,OPERATIONAL,3
ChIJ000ab5962c,Cambridge Public Library Branch,"269 Broadway, Cambridge, MA 02139",42.360724,-71.107514,4.6,182,library|point_of_interest|establishment,OPERATIONAL,1
ChIJ000ca43e51,North End Pharmacy,"1072 Cambridge St, Cambridge, MA 02139",42.376862,-71.098952,4.6,1468,pharmacy|point_of_interest|establishment,OPERATIONAL,4
ChIJ000e8e0690,Cambridge Yoga Studio,"155 Concord Ave, Cambridge, MA 02139",42.382265,-71.143283,4.8,1594,gym|point_of_interest|establishment,OPERATIONAL,2
ChIJ0000c50800,Cambridge YMCA,"820 Massachusetts Ave, Cambridge, MA 02139",42.363600,-71.105400,4.1,726,gym|point_of_interest|establishment,OPERATIONAL,2
ChIJ000d807e8e,Old Town Bookshop,"388 Huron Ave, Cambridge, MA 02138",42.378909,-71.139009,4.0,1171,book_store|point_of_interest|establishment,OPERATIONAL,2
ChIJ000e9a0cd3,Trader Joe's,"1 Trader Joe's Square, Cambridge, MA 02139",42.388586,-71.119400,4.5,1416,grocery_or_supermarket|point_of_interest|establishment,OPERATIONAL,2
ChIJ000956c581,Porter Square Coffee,"1 Porter Square, Cambridge, MA 02140",42.388641,-71.119367,4.4,955,cafe|point_of_interest|establishment,OPERATIONAL,2
ChIJ000cf7bad8,MIT Campus Area,"81 Massachusetts Ave, Cambridge, MA 02139",42.356419,-71.095555,4.6,122,park|point_of_interest|establishment,OPERATIONAL,4
ChIJ0000d7a420,Harvard Art Museums,"485 Massachusetts Ave, Cambridge, MA 02139",42.365640,-71.104967,4.8,1330,museum|point_of_interest|establishment,OPERATIONAL,1
ChIJ0009575194,The Inn at Harvard,"10 Mifflin Place, Cambridge, MA 02138",42.372249,-71.116087,4.3,1359,lodging|point_of_interest|establishment,OPERATIONAL,4
ChIJ000feca8ee,Cedar Coffee Roasters,"1073 Massachusetts Ave, Cambridge, MA 02139",42.371505,-71.109413,4.1,1195,cafe|point_of_interest|establishment,OPERATIONAL,3
