Time	Transaction_ID	Barber	Service	Payment_Method	Amount	Tip	Total
09:18 AM	SQ-77410233	Pop Brennan	Classic fade	Card	28.00	6.00	34.00
09:52 AM	SQ-77410234	Marcus Webb	Haircut and beard	Card	40.00	8.00	48.00
10:11 AM	SQ-77410235	Andre Fields	Kids cut	Cash	20.00	2.00	22.00
10:40 AM	SQ-77410236	Pop Brennan	Hot towel shave	Card	35.00	7.00	42.00
11:05 AM	SQ-77410237	Marcus Webb	Classic fade	Venmo	28.00	5.00	33.00
11:39 AM	SQ-77410238	Andre Fields	Haircut	Card	28.00	6.00	34.00
12:20 PM	SQ-77410239	Pop Brennan	Beard trim	Cash	18.00	2.00	20.00
01:02 PM	SQ-77410240	Henry Harmon	Haircut	Card	28.00	10.00	38.00
01:48 PM	SQ-77410241	Henry Harmon	Haircut	Card	28.00	7.00	35.00
02:33 PM	SQ-77410242	Henry Harmon	Classic fade	Zelle	28.00	5.00	33.00
03:15 PM	SQ-77410243	Pop Brennan	Haircut and hot towel shave	Card	45.00	9.00	54.00
03:50 PM	SQ-77410244	Marcus Webb	Product, Suavecito pomade	Card	16.00	0.00	16.00
04:25 PM	SQ-77410245	Andre Fields	Classic fade	Cash	28.00	4.00	32.00
05:10 PM	SQ-77410246	Pop Brennan	Haircut	Card	28.00	6.00	34.00
TOTALS	2026-11-07	14 sales			398.00	77.00	475.00
