Date	Location	Players_Present	James_Team_Score	Other_Team_Score	Notes
2025-10-01	Ridgeway Recreation Center	10	52	48	Good run, strong start to the fall
2025-10-08	Ridgeway Recreation Center	8	44	47	Lost by three, back was tight
2025-10-15	Ridgeway Recreation Center	10	56	51	James had 14 points
2025-10-22	Ridgeway Recreation Center	8	49	50	Close game, lost on a late bucket
2025-10-29	Ridgeway Recreation Center	10	55	42	Best game of the month
2025-11-05	Ridgeway Recreation Center	8	46	44	Short game, two guys left early
2025-11-12	Ridgeway Recreation Center	0			Skipped, birthday dinner with Tasha
2025-11-19	Ridgeway Recreation Center	10	53	49	Back from birthday week, felt good
2025-11-26	Ridgeway Recreation Center	6	38	41	Short crew, Thanksgiving eve
2025-12-03	Ridgeway Recreation Center	10	50	52	Darius joined for the first time
2025-12-10	Ridgeway Recreation Center	8	47	43	James had 16 points, season high
2025-12-17	Ridgeway Recreation Center	8	44	46	Last game before the holidays
2026-01-07	Ridgeway Recreation Center	10	51	48	New Year, back at it
2026-01-14	Ridgeway Recreation Center	8	42	45	Cold night, legs stiff from the walk over
2026-01-21	Ridgeway Recreation Center	10	54	50	Good crowd, competitive game
2026-01-28	Ridgeway Recreation Center	8	48	47	Won by one, clutch free throw
2026-02-04	Ridgeway Recreation Center	10	52	46	Strong performance all around
2026-02-11	Ridgeway Recreation Center	8	44	49	Off night, lower back bothering him
2026-02-18	Ridgeway Recreation Center	10	55	53	Best game in weeks
2026-02-25	Ridgeway Recreation Center	8	47	42	Good way to close February
