OrderDate	Vendor	Items	Location	Qty	UnitCost	LineTotal	Status
2025-10-06	Prairie Beauty Supply	OPI Gel Polish Assorted	Main Street	48	9.25	444.00	Received
2025-10-20	NailPro Wholesale	Acrylic Powder 16oz	Orchard Plaza	20	18.50	370.00	Received
2025-11-03	Prairie Beauty Supply	Pedicure Liners Case	Wheaton	12	22.00	264.00	Received
2025-11-17	LumaTech Equipment	LED Cure Lamp 48W	Wheaton	6	79.00	474.00	Received
2025-12-01	Prairie Beauty Supply	Cuticle Oil 4oz	Main Street	36	6.75	243.00	Received
2025-12-15	NailPro Wholesale	Nitrile Gloves Box	All Locations	30	11.40	342.00	Received
2026-01-05	Sanitas Spa Supply	Foot Soak Concentrate	Orchard Plaza	18	14.00	252.00	Received
2026-01-19	Prairie Beauty Supply	Dip Powder System Kit	Wheaton	8	41.50	332.00	Received
2026-02-02	LumaTech Equipment	Pedicure Chair Jet Filter	Wheaton	10	16.20	162.00	Backordered
2026-02-09	NailPro Wholesale	Gel Top Coat 0.5oz	Main Street	40	8.10	324.00	Received
