School	Region	Enrollment	FRL_Percent	ELL_Percent	PerPupil_Spend	Teacher_FTE	Student_Teacher_Ratio	Counselor_FTE	AP_or_STEM_Courses	Building_Year	Facilities_Condition_Index	Title_I
Westgate Elementary	West	512	28	6	11240	29.5	17.4	1.5	0	2009	0.18	No
Maple Heights Elementary	West	486	24	5	11580	28.0	17.4	1.5	0	2012	0.14	No
Laurel Ridge Elementary	West	534	31	8	11020	30.0	17.8	1.0	0	2005	0.22	No
Evergreen Elementary	West	498	44	14	10760	27.5	18.1	1.0	0	1998	0.29	Yes
Lincoln Park Elementary	East	610	81	37	9680	31.0	19.7	1.0	0	1971	0.58	Yes
Holman Street Elementary	East	578	78	41	9540	29.0	19.9	0.5	0	1969	0.61	Yes
Riverbend STEM Academy	East	640	72	34	10980	32.0	20.0	1.0	4	1974	0.49	Yes
Cedar Bluff High School	East	1820	66	22	10310	92.0	19.8	3.0	9	1972	0.55	Yes
Westview High School	West	1610	29	7	11460	88.0	18.3	5.0	21	2003	0.19	No
Willow Creek Middle School	Central	740	52	18	10440	40.0	18.5	1.5	3	1988	0.34	Yes
Northgate Middle School	West	690	33	9	11120	39.0	17.7	2.0	6	2001	0.21	No
Holman Middle School	East	705	77	35	9720	37.5	18.8	1.0	2	1970	0.59	Yes
DISTRICT_AVERAGE	All	710	51	19	10564	NA	18.7	NA	NA	NA	0.38	NA
