Category	Subcategory	Budgeted	Actual	Variance	Notes
Housing	Mortgage P and I	3400.00	3400.00	0.00	Bellevue 4BR, WaFd autopay
Housing	Property tax reserve	650.00	650.00	0.00	King County escrow
Housing	HOA dues	180.00	180.00	0.00	
Transport	BMW X3 loan	520.00	520.00	0.00	Aisha primary driver
Transport	Auto insurance	340.00	340.00	0.00	PEMCO, both vehicles
Education	Granville tuition	1800.00	1800.00	0.00	Hana and Kenji
Food	Groceries	800.00	812.40	-12.40	Uwajimaya weekend cook
Utilities	Power, water, gas	320.00	308.65	11.35	PSE plus city
Utilities	Mobile phones	160.00	160.00	0.00	family plan
Health	Gym membership	190.00	190.00	0.00	Equinox Bellevue
Health	Pilates	140.00	140.00	0.00	Aisha
Kids	Violin lessons	200.00	200.00	0.00	Hana
Kids	Soccer program	120.00	120.00	0.00	Kenji
Family	Support to Honolulu	500.00	500.00	0.00	wire to Yoshiko
Lifestyle	Dining and date night	500.00	544.20	-44.20	Saturday rotation
Lifestyle	Travel reserve	300.00	300.00	0.00	December Honolulu
Health	Health insurance	380.00	380.00	0.00	Ridgecrest family plan
Total		10500.00	10485.30	14.70	
